row_label_raw,row_label_full,5.9,Hàng tòn kho,31/12/2024 > Giá trị VND,31/12/2024 > Dự phòng VND,01/01/2024 > Giá trị VND,01/01/2024 > Dự phòng VND,numeric__Hàng tòn kho,numeric__31/12/2024 > Giá trị VND,numeric__31/12/2024 > Dự phòng VND,numeric__01/01/2024 > Giá trị VND,numeric__01/01/2024 > Dự phòng VND
,,,"Nguyên liệu, vật liệu",691.195.478.041,-,559.414.866.045,-,,691195478041.0,,559414866045.0,
,,,"Công cụ, dụng cụ",18.654.722.959,(34.586.144),17.696.284.062,(34.586.144),,18654722959.0,-34586144.0,17696284062.0,-34586144.0
,,,"Chi phí SX, KD dò dang",1.350.508.389.943,(16.850.447.719),1.632.770.957.892,(32.714.898.589),,1350508389943.0,-16850447719.0,1632770957892.0,-32714898589.0
,,,- Bất động sản (i),806.331.368.821,,1.109.676.226.781,,,806331368821.0,,1109676226781.0,
,,,- Xây lắp,361.263.423.559,(15.970.716.277),399.446.058.847,(32.178.969.586),,361263423559.0,-15970716277.0,399446058847.0,-32178969586.0
,,,- Phát triển khu công nghiệp,121.790.535.735,-,91.712.558.171,-,,121790535735.0,,91712558171.0,
,,,- Khác,61.123.061.828,(879.731.442),31.936.114.093,(535.929.003),,61123061828.0,-879731442.0,31936114093.0,-535929003.0
,,,Thành phẩm,26.162.572.076,(21.966.775.160),24.939.626.598,(21.966.775.160),,26162572076.0,-21966775160.0,24939626598.0,-21966775160.0
,,,Hàng hoá,310.006.594.818,(723.113.389),98.551.292.526,(723.113.389),,310006594818.0,-723113389.0,98551292526.0,-723113389.0
,,,Hàng gửi bán,174.419.843,-,174.419.843,-,,174419843.0,,174419843.0,
,,,,2.396.702.177.680,(39.574.922.412),2.333.547.446.966,(55.439.373.282),,2396702177680.0,-39574922412.0,2333547446966.0,-55439373282.0
