row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm 2024 VND,Năm 2023 VND,numeric__Mã số,numeric__Năm 2024 VND,numeric__Năm 2023 VND
III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của CSH","III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của CSH","1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của CSH",31,-,23.000.000.000,31.0,,23000000000.0
"2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành","III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành","2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,-,-,32.0,,
3. Tiền thu từ đi vay,III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Tiền thu từ đi vay,3. Tiền thu từ đi vay,33,2.625.776.420.452,3.295.260.763.168,33.0,2625776420452.0,3295260763168.0
4. Tiền trả nợ gốc vay,III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4. Tiền trả nợ gốc vay,4. Tiền trả nợ gốc vay,34,(3.073.904.487.629),(4.709.057.152.612),34.0,-3073904487629.0,-4709057152612.0
5. Tiền trả nợ gốc thuê tài chính,III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 5. Tiền trả nợ gốc thuê tài chính,5. Tiền trả nợ gốc thuê tài chính,35,(711.102.864),(711.102.864),35.0,-711102864.0,-711102864.0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,-,(4.201.838.112),36.0,,-4201838112.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(448.839.170.041),(1.395.709.330.420),40.0,-448839170041.0,-1395709330420.0
Lưu chuyển tiền thuần trong năm (50 = 20+ 30 + 40),III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm (50 = 20+ 30 + 40),Lưu chuyển tiền thuần trong năm (50 = 20+ 30 + 40),50,(120.376.010.996),(107.724.294.483),50.0,-120376010996.0,-107724294483.0
Tiền và tương đương tiền đầu năm,III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,388.531.074.373,496.252.581.750,60.0,388531074373.0,496252581750.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,2.333.363,2.787.106,61.0,2333363.0,2787106.0
Tiền và tương đương tiền cuối năm (70 = 50+60+61),III. LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối năm (70 = 50+60+61),Tiền và tương đương tiền cuối năm (70 = 50+60+61),70,268.157.396.740,388.531.074.373,70.0,268157396740.0,388531074373.0
