row_label_raw,row_label_full,col_0,Nhà xuốngvà vật kiến trúc,Máy mócvà thiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,Khác,Tổng,numeric__Nhà xuốngvà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,4.714.382.444.094,7.344.413.826.175,465.545.080.308,35.689.385.459,57.327.651.874,12.617.358.387.910,4714382444094.0,7344413826175.0,465545080308.0,35689385459.0,57327651874.0,12617358387910.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,1.466.364.719,100.681.721.835,44.120.033.819,2.296.565.236,1.458.500.000,150.023.185.609,1466364719.0,100681721835.0,44120033819.0,2296565236.0,1458500000.0,150023185609.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,6.217.550.786,2.809.773.519,556.636.479,-,-,9.583.960.784,6217550786.0,2809773519.0,556636479.0,,,9583960784.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.803.114.369),(1.477.951.348),(1.730.068.812),(59.660.000),-,(11.070.794.529),-7803114369.0,-1477951348.0,-1730068812.0,-59660000.0,,-11070794529.0
Xóa số,NGUYÊN GIÁ > Xóa số,Xóa số,(364.120.367),-,-,-,-,(364.120.367),-364120367.0,,,,,-364120367.0
Giảm do thoái vốn công ty con,NGUYÊN GIÁ > Giảm do thoái vốn công ty con,Giảm do thoái vốn công ty con,(524.426.951),(2.198.669.190),(2.712.858.990),(43.950.000),-,(5.479.905.131),-524426951.0,-2198669190.0,-2712858990.0,-43950000.0,,-5479905131.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,4.713.374.697.912,7.444.228.700.991,505.778.822.804,37.882.340.695,58.786.151.874,12.760.050.714.276,4713374697912.0,7444228700991.0,505778822804.0,37882340695.0,58786151874.0,12760050714276.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.234.219.041.781,1.984.420.861.039,355.456.788.591,22.557.451.279,49.908.329.302,3.646.562.471.992,1234219041781.0,1984420861039.0,355456788591.0,22557451279.0,49908329302.0,3646562471992.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,279.506.904.521,446.726.887.691,28.699.652.845,3.882.155.605,3.487.343.385,762.302.944.047,279506904521.0,446726887691.0,28699652845.0,3882155605.0,3487343385.0,762302944047.0
