row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,ThuyếtMã số minh,ThuyếtMã số minh_1,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN_1,numeric__ThuyếtMã số minh,numeric__ThuyếtMã số minh_1,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,15.685.397.894.656,13.271.625.448.232,,300.0,,15685397894656.0,13271625448232.0
I.,I.,I.,Nợ ngắn hạn,310,,7.787.578.744.336,5.078.147.101.360,,310.0,,7787578744336.0,5078147101360.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,26,1.804.448.090.987,1.120.664.359.789,,311.0,26.0,1804448090987.0,1120664359789.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,27,788.024.675.926,299.209.751.506,,312.0,27.0,788024675926.0,299209751506.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,16,296.121.145.568,230.165.562.350,,313.0,16.0,296121145568.0,230165562350.0
4.,4.,4.,Phải trả người lao động,314,,133.846.477.418,98.754.378.100,,314.0,,133846477418.0,98754378100.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,28,160.648.252.816,83.045.126.902,,315.0,28.0,160648252816.0,83045126902.0
6.,6.,6.,Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,10,-,850.614.873,,317.0,10.0,,850614873.0
7.,7.,7.,Doanh thu chưa thực hiện ngắn hạn,318,,6.578.609.750,6.780.962.417,,318.0,,6578609750.0,6780962417.0
8.,8.,8.,Phải trả ngắn hạn khác,319,29,129.042.633.320,109.774.770.645,,319.0,29.0,129042633320.0,109774770645.0
9.,9.,9.,Vay ngắn hạn,320,31,4.262.747.629.586,2.950.283.971.656,,320.0,31.0,4262747629586.0,2950283971656.0
10.,10.,10.,Dự phòng phải trả ngắn hạn,321,32,39.138.206.618,11.957.159.622,,321.0,32.0,39138206618.0,11957159622.0
11.,11.,11.,"Quỹ khen thưởng, phúc lợi",322,30,166.983.022.347,166.660.443.500,,322.0,30.0,166983022347.0,166660443500.0
II.,II.,II.,Nợ dài hạn,330,,7.897.819.150.320,8.193.478.346.872,,330.0,,7897819150320.0,8193478346872.0
1.,1.,1.,Doanh thu chưa thực hiện dài hạn,336,-,175.404.656,480.757.160,,336.0,,175404656.0,480757160.0
2.,2.,2.,Phải trả dài hạn khác,337,29,11.861.948.044,12.033.085.858,,337.0,29.0,11861948044.0,12033085858.0
3.,3.,3.,Vay và trái phiếu phát hành dài hạn,338,31,7.442.927.598.263,7.830.630.395.563,,338.0,31.0,7442927598263.0,7830630395563.0
4.,4.,4.,Thuế thu nhập hoãn lại phải trả,341,24,307.768.215.520,305.205.522.136,,341.0,24.0,307768215520.0,305205522136.0
5.,5.,5.,Dự phòng phải trả dài hạn,342,32,135.085.983.837,45.128.586.155,,342.0,32.0,135085983837.0,45128586155.0
