row_label_raw,row_label_full,CHÌ TIÊUIII. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,CHÌ TIÊUIII. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH_1,CHÌ TIÊUIII. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH_2,CHÌ TIÊUIII. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH_3,numeric__CHÌ TIÊUIII. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH_1,numeric__CHÌ TIÊUIII. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH_2,numeric__CHÌ TIÊUIII. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH_3
,,,Mã số,Năm nay,Năm trước,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,105.109.788.358,44.200.000.000,31.0,105109788358.0,44200000000.0
2. Tiền thu từ đi vay,2. Tiền thu từ đi vay,2. Tiền thu từ đi vay,33,9.384.577.790.435,7.718.291.063.222,33.0,9384577790435.0,7718291063222.0
3. Tiền trả nợ gốc vay,3. Tiền trả nợ gốc vay,3. Tiền trả nợ gốc vay,34,(8.557.012.009.147),(7.826.829.309.098),34.0,-8557012009147.0,-7826829309098.0
4. Tiền trả nợ gốc thuê tài chính,4. Tiền trả nợ gốc thuê tài chính,4. Tiền trả nợ gốc thuê tài chính,35,-,(1.454.373.074),35.0,,-1454373074.0
"5. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","5. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","5. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(203.771.573.820),(202.587.071.346),36.0,-203771573820.0,-202587071346.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,728.903.995.826,(268.379.690.296),40.0,728903995826.0,-268379690296.0
Lưu chuyển tiền thuần trong năm (50=20+30+40),Lưu chuyển tiền thuần trong năm (50=20+30+40),Lưu chuyển tiền thuần trong năm (50=20+30+40),50,1.527.621.501.380,175.465.583.612,50.0,1527621501380.0,175465583612.0
Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,2.277.327.707.879,2.082.217.682.721,60.0,2277327707879.0,2082217682721.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,5.253.531.837,21.550.094.963,61.0,5253531837.0,21550094963.0
Ảnh hưởng của áp dụng tỷ giá chuyển đổi báo cáo,Ảnh hưởng của áp dụng tỷ giá chuyển đổi báo cáo,Ảnh hưởng của áp dụng tỷ giá chuyển đổi báo cáo,62,1.233.656.863,(1.905.653.417),62.0,1233656863.0,-1905653417.0
Tiền và tương đương tiền cuối năm (70=50+60+61+62),Tiền và tương đương tiền cuối năm (70=50+60+61+62),Tiền và tương đương tiền cuối năm (70=50+60+61+62),70,3.811.436.397.959,2.277.327.707.879,70.0,3811436397959.0,2277327707879.0
