row_label_raw,row_label_full,col_0,Lợi thế thuống mại,numeric__Lợi thế thuống mại
,,,VND,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,440.096.768.989,440096768989.0
Giảm do thoái vốn đầu tư vào công ty con,NGUYÊN GIÁ > Giảm do thoái vốn đầu tư vào công ty con,Giảm do thoái vốn đầu tư vào công ty con,(35.616.454.034),-35616454034.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,404.480.314.955,404480314955.0
PHÂN BỔ LỦY KẾ,PHÂN BỔ LỦY KẾ,PHÂN BỔ LỦY KẾ,PHÂN BỔ LỦY KẾ,
Số dư đầu năm,PHÂN BỔ LỦY KẾ > Số dư đầu năm,Số dư đầu năm,258.849.104.831,258849104831.0
Phân bổ trong năm,PHÂN BỔ LỦY KẾ > Phân bổ trong năm,Phân bổ trong năm,35.094.373.832,35094373832.0
Giảm do thoái vốn đầu tư vào công ty con,PHÂN BỔ LỦY KẾ > Giảm do thoái vốn đầu tư vào công ty con,Giảm do thoái vốn đầu tư vào công ty con,(26.712.340.526),-26712340526.0
Số dư cuối năm,PHÂN BỔ LỦY KẾ > Số dư cuối năm,Số dư cuối năm,267.231.138.137,267231138137.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,181.247.664.158,181247664158.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,137.249.176.818,137249176818.0
