row_label_raw,row_label_full,col_0,Số cuối nămVNDGiá gốc/Giá trị ghi số,Số đầu nămVNDGiá gốc/Giá trị ghi số,numeric__Số cuối nămVNDGiá gốc/Giá trị ghi số,numeric__Số đầu nămVNDGiá gốc/Giá trị ghi số
Tiền gửi ngân hàng có kỳ hạn,Tiền gửi ngân hàng có kỳ hạn,Tiền gửi ngân hàng có kỳ hạn,1.459.344.220.559,1.016.759.191.654,1459344220559.0,1016759191654.0
,,,1.459.344.220.559,1.016.759.191.654,1459344220559.0,1016759191654.0
