row_label_raw,row_label_full,col_0,Quyền khai thác khoáng sản,Quyền khai thác vận hành khu công nghiệp,Quyền sử dụng đất,Phần mềm máy tính,Khác,Tổng,numeric__Quyền khai thác khoáng sản,numeric__Quyền khai thác vận hành khu công nghiệp,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,977.536.296.866,385.284.021.525,14.249.528.442,6.123.942.600,105.331.819,1.383.299.121.252,977536296866.0,385284021525.0,14249528442.0,6123942600.0,105331819.0,1383299121252.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,-,-,2.711.006.600,-,2.711.006.600,,,,2711006600.0,,2711006600.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,-,7.695.000.000,-,-,7.695.000.000,,,7695000000.0,,,7695000000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,977.536.296.866,385.284.021.525,21.944.528.442,8.834.949.200,105.331.819,1.393.705.127.852,977536296866.0,385284021525.0,21944528442.0,8834949200.0,105331819.0,1393705127852.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,158.320.169.371,37.317.087.120,6.562.206.690,5.114.779.329,105.331.819,207.419.574.329,158320169371.0,37317087120.0,6562206690.0,5114779329.0,105331819.0,207419574329.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,45.120.514.712,17.418.614.787,269.749.116,509.299.321,-,63.318.177.936,45120514712.0,17418614787.0,269749116.0,509299321.0,,63318177936.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,203.440.684.083,54.735.701.907,6.831.955.806,5.624.078.650,105.331.819,270.737.752.265,203440684083.0,54735701907.0,6831955806.0,5624078650.0,105331819.0,270737752265.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,819.216.127.495,347.966.934.405,7.687.321.752,1.009.163.271,-,1.175.879.546.923,819216127495.0,347966934405.0,7687321752.0,1009163271.0,,1175879546923.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,774.095.612.783,330.548.319.618,15.112.572.636,3.210.870.550,-,1.122.967.375.587,774095612783.0,330548319618.0,15112572636.0,3210870550.0,,1122967375587.0
