row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dưvốn cổ phần,Vốn khác củachủ sở hữu,Chênh lệchđánh giá lạitài sản,Chênh lệch tỷgiá hối đoái,Quỹ đầu tưphát triển,Quỹ khác thuộcvốn chủ sở hữu,Lợi nhuận sau thuếchưa phân phối,Lợi ích cổ đôngkhông kiểm soát,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dưvốn cổ phần,numeric__Vốn khác củachủ sở hữu,numeric__Chênh lệchđánh giá lạitài sản,numeric__Chênh lệch tỷgiá hối đoái,numeric__Quỹ đầu tưphát triển,numeric__Quỹ khác thuộcvốn chủ sở hữu,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__Lợi ích cổ đôngkhông kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,,
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,,,,,,,,,,
Số dư đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Số dư đầu năm,Số dư đầu năm,3.109.955.580.000,711.136.556.786,46.847.073.442,708.285.511,(1.277.863.726),292.725.159.814,65.403.533.120,852.993.584.938,2.069.119.300.469,7.147.611.210.354,3109955580000.0,711136556786.0,46847073442.0,708285511.0,-1277863726.0,292725159814.0,65403533120.0,852993584938.0,2069119300469.0,7147611210354.0
Lợi nhuận trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,467.582.890.486,242.392.503.244,709.975.393.730,,,,,,,,467582890486.0,242392503244.0,709975393730.0
Tăng vốn tại công ty conbằng các quỹ thuộc vốnchủ sở hữu,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Tăng vốn tại công ty conbằng các quỹ thuộc vốnchủ sở hữu,Tăng vốn tại công ty conbằng các quỹ thuộc vốnchủ sở hữu,-,-,5.000.000.000,-,-,(5.000.000.000),-,-,-,-,,,5000000000.0,,,-5000000000.0,,,,
Cổ đông không kiểmsoat góp vốn vào công tycon,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Cổ đông không kiểmsoat góp vốn vào công tycon,Cổ đông không kiểmsoat góp vốn vào công tycon,-,-,-,-,-,-,-,-,44.200.000.000,44.200.000.000,,,,,,,,,44200000000.0,44200000000.0
Chia cổ tức bằng cổphiếu,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Chia cổ tức bằng cổphiếu,Chia cổ tức bằng cổphiếu,466.465.630.000,-,-,-,-,-,-,(466.465.630.000),-,-,466465630000.0,,,,,,,-466465630000.0,,
Chia cổ tức cho cổ đôngkhông kiểm soát,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Chia cổ tức cho cổ đôngkhông kiểm soát,Chia cổ tức cho cổ đôngkhông kiểm soát,-,-,-,-,-,-,-,-,(180.531.509.787),(180.531.509.787),,,,,,,,,-180531509787.0,-180531509787.0
Thoái vốn đầu tư tạicông ty con nhưng vẩngiữ quyền kiểm soát,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Thoái vốn đầu tư tạicông ty con nhưng vẩngiữ quyền kiểm soát,Thoái vốn đầu tư tạicông ty con nhưng vẩngiữ quyền kiểm soát,-,-,(1.000.000.000),-,-,-,-,848.269.093,15.551.730.907,15.400.000.000,,,-1000000000.0,,,,,848269093.0,15551730907.0,15400000000.0
Giám do thoái vốn đàutự vào công ty con cấp 2,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Giám do thoái vốn đàutự vào công ty con cấp 2,Giám do thoái vốn đàutự vào công ty con cấp 2,-,-,-,-,-,-,-,-,(4.351.338.386),(4.351.338.386),,,,,,,,,-4351338386.0,-4351338386.0
Biến động do thay đốitrong vốn chủ sở hữucủa công ty liên kết,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Biến động do thay đốitrong vốn chủ sở hữucủa công ty liên kết,Biến động do thay đốitrong vốn chủ sở hữucủa công ty liên kết,-,-,-,-,-,-,-,(128.561.315),-,(128.561.315),,,,,,,,-128561315.0,,-128561315.0
Chênh lệch tỷ giá dochuyễn đối báo cáo,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Chênh lệch tỷ giá dochuyễn đối báo cáo,Chênh lệch tỷ giá dochuyễn đối báo cáo,-,-,-,-,(1.905.653.417),-,-,-,-,(1.905.653.417),,,,,-1905653417.0,,,,,-1905653417.0
Trích quỹ đầu tư pháttriển,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Trích quỹ đầu tư pháttriển,Trích quỹ đầu tư pháttriển,-,-,-,-,-,11.124.148.057,-,(11.124.148.057),-,-,,,,,,11124148057.0,,-11124148057.0,,
