row_label_raw,row_label_full,col_0,Xây lắpvà xây dựng,Sản xuấtcông nghiệp,Bắt động sản,Năng lượng,Thương mại,Khai thácvà vận hànhkhu công nghiệp,Khai khoáng,Các hoạtđộng khác,Tổng,numeric__Xây lắpvà xây dựng,numeric__Sản xuấtcông nghiệp,numeric__Bắt động sản,numeric__Năng lượng,numeric__Thương mại,numeric__Khai thácvà vận hànhkhu công nghiệp,numeric__Khai khoáng,numeric__Các hoạtđộng khác,numeric__Tổng
Chi tiêu vốn bộ phận,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Chi tiêu vốn bộ phận,Chi tiêu vốn bộ phận,12.087.381.208,28.751.027.771,658.125.908,20.168.478.436,-,42.264.954.186,130.204.202.650,361.446.824,234.495.616.983,12087381208.0,28751027771.0,658125908.0,20168478436.0,,42264954186.0,130204202650.0,361446824.0,234495616983.0
Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2025,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2025,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2025,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2025,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2025,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2025,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2025,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2025,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2025,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2025,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2025,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2025,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
Tài sản bộ phận,Tài sản > Tài sản bộ phận,Tài sản bộ phận,2.530.583.847.458,1.132.670.643.844,1.211.766.188.527,9.021.528.485.602,594.839.967.483,1.642.257.146.839,1.915.894.990.590,43.727.039.134,18.093.268.309.477,2530583847458.0,1132670643844.0,1211766188527.0,9021528485602.0,594839967483.0,1642257146839.0,1915894990590.0,43727039134.0,18093268309477.0
Tài sản không phân bổ,Tài sản > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,,6.469.602.523.736,,,,,,,,,6469602523736.0
Tổng Tài sản,Tài sản > Tổng Tài sản,Tổng Tài sản,,,,,,,,,24.562.870.833.213,,,,,,,,,24562870833213.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Nợ phải trả bộ phận,Nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,3.950.155.563.471,809.819.528.031,804.889.977.155,5.814.855.871.410,223.975.935.727,276.132.814.644,1.128.826.783.034,22.368.855.728,13.031.025.329.200,3950155563471.0,809819528031.0,804889977155.0,5814855871410.0,223975935727.0,276132814644.0,1128826783034.0,22368855728.0,13031025329200.0
Nợ phải trả không phân bổ,Nợ phải trả > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,,,2.654.372.565.456,,,,,,,,,2654372565456.0
Tổng Nợ phải trả,Nợ phải trả > Tổng Nợ phải trả,Tổng Nợ phải trả,,,,,,,,,15.685.397.894.656,,,,,,,,,15685397894656.0
Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2024,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2024,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2024,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2024,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2024,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2024,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2024,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2024,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2024,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2024,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2024,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2024,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
Tài sản bộ phận,Tài sản > Tài sản bộ phận,Tài sản bộ phận,1.902.631.794.913,723.731.548.075,1.309.608.304.859,9.008.063.060.286,241.386.683.338,1.399.100.103.337,2.170.526.667.505,27.819.880.071,16.782.868.042.384,1902631794913.0,723731548075.0,1309608304859.0,9008063060286.0,241386683338.0,1399100103337.0,2170526667505.0,27819880071.0,16782868042384.0
Tài sản không phân bổ,Tài sản > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,,4.204.776.698.744,,,,,,,,,4204776698744.0
Tổng Tài sản,Tài sản > Tổng Tài sản,Tổng Tài sản,,,,,,,,,20.987.644.741.128,,,,,,,,,20987644741128.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Nợ phải trả bộ phận,Nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.600.967.413.927,511.673.313.711,405.093.392.252,5.406.095.610.792,4.396.392.430,36.453.218.308,1.439.154.983.426,10.079.376.073,9.413.913.700.919,1600967413927.0,511673313711.0,405093392252.0,5406095610792.0,4396392430.0,36453218308.0,1439154983426.0,10079376073.0,9413913700919.0
Nợ phải trả không phân bổ,Nợ phải trả > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,,,3.857.711.747.313,,,,,,,,,3857711747313.0
Tổng Nợ phải trả,Nợ phải trả > Tổng Nợ phải trả,Tổng Nợ phải trả,,,,,,,,,13.271.625.448.232,,,,,,,,,13271625448232.0
