row_label_raw,row_label_full,col_0,Giá trị ghi sốtại ngày chấm dứtquyền kiểm soátVND,numeric__Giá trị ghi sốtại ngày chấm dứtquyền kiểm soátVND
Tiền,Tiền,Tiền,839.192.223,839192223.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,30.592.886.660,30592886660.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,326.667.207,326667207.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,225.218,225218.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,609.024.788,609024788.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,1.280.326,1280326.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,32.369.276.422,32369276422.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,23.572.411.130,23572411130.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,23.572.411.130,23572411130.0
Tổng tài sản thuần theo giá trị ghi số,Tổng tài sản thuần theo giá trị ghi số,Tổng tài sản thuần theo giá trị ghi số,8.796.865.292,8796865292.0
Lãi từ hoạt động thoái vốn đầu tư công ty con,Lãi từ hoạt động thoái vốn đầu tư công ty con,Lãi từ hoạt động thoái vốn đầu tư công ty con,203.134.708,203134708.0
Giá trị chuyển nhượng,Giá trị chuyển nhượng,Giá trị chuyển nhượng,9.000.000.000,9000000000.0
Tiền giảm do mất quyền kiểm soát công ty con,Tiền giảm do mất quyền kiểm soát công ty con,Tiền giảm do mất quyền kiểm soát công ty con,(839.192.223),-839192223.0
Phải thu cá nhân nhận chuyển nhượng công ty con,Phải thu cá nhân nhận chuyển nhượng công ty con,Phải thu cá nhân nhận chuyển nhượng công ty con,(2.000.000.000),-2000000000.0
Lưu chuyển tiền thuần từ thoái vốn đầu tư công ty con,Lưu chuyển tiền thuần từ thoái vốn đầu tư công ty con,Lưu chuyển tiền thuần từ thoái vốn đầu tư công ty con,6.160.807.777,6160807777.0
