row_label_raw,row_label_full,col_0,Giá trị ghi sốtại ngày chấm dứtquyền kiểm soátVND,numeric__Giá trị ghi sốtại ngày chấm dứtquyền kiểm soátVND
Tiền,Tiền,Tiền,836.128.450,836128450.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,123.071.189.496,123071189496.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,14.399.687.700,14399687700.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,1.435.111.846,1435111846.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,139.742.117.492,139742117492.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,1.562.830.385,1562830385.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,1.562.830.385,1562830385.0
Tổng tài sản thuần theo giá trị ghi số,Tổng tài sản thuần theo giá trị ghi số,Tổng tài sản thuần theo giá trị ghi số,138.179.287.107,138179287107.0
Lợi ích cổ đông không kiểm soát tại ngày chấm dứt quyền kiểm soát,Lợi ích cổ đông không kiểm soát tại ngày chấm dứt quyền kiểm soát,Lợi ích cổ đông không kiểm soát tại ngày chấm dứt quyền kiểm soát,(69.089.644),-69089644.0
Lợi thế thường mại chưa phân bổ,Lợi thế thường mại chưa phân bổ,Lợi thế thường mại chưa phân bổ,8.904.113.508,8904113508.0
Lãi từ hoạt động thoái vốn đầu tư công ty con,Lãi từ hoạt động thoái vốn đầu tư công ty con,Lãi từ hoạt động thoái vốn đầu tư công ty con,52.985.639.029,52985639029.0
Giá trị chuyển nhượng,Giá trị chuyển nhượng,Giá trị chuyển nhượng,199.999.950.000,199999950000.0
Tiền giám do mất quyền kiểm soát công ty con,Tiền giám do mất quyền kiểm soát công ty con,Tiền giám do mất quyền kiểm soát công ty con,(836.128.450),-836128450.0
Phải thu cá nhân nhận chuyển nhượng công ty con,Phải thu cá nhân nhận chuyển nhượng công ty con,Phải thu cá nhân nhận chuyển nhượng công ty con,(49.999.987.500),-49999987500.0
Lưu chuyển tiền thuần từ thoái vốn đầu tư công ty con,Lưu chuyển tiền thuần từ thoái vốn đầu tư công ty con,Lưu chuyển tiền thuần từ thoái vốn đầu tư công ty con,149.163.834.050,149163834050.0
