row_label_raw,row_label_full,col_0,Công ty Cổ phầnWestern Pacific,Công ty Cổ phầnĐầu tư Bất động sảnCT2,Công ty Cổ phầnGang thép Cao Bằng,Công ty Cổ phầnKCN Quốc tế VũngTàu,Công ty Cổ phầnTân Thanh,Tổng,numeric__Công ty Cổ phầnWestern Pacific,numeric__Công ty Cổ phầnĐầu tư Bất động sảnCT2,numeric__Công ty Cổ phầnGang thép Cao Bằng,numeric__Công ty Cổ phầnKCN Quốc tế VũngTàu,numeric__Công ty Cổ phầnTân Thanh,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số đầu năm,Số đầu năm,Số đầu năm,1.253.444.218.798,300.000.000.000,86.390.209.542,68.400.000.000,-,1.708.234.428.340,1253444218798.0,300000000000.0,86390209542.0,68400000000.0,,1708234428340.0
Đầu tư trong năm,Đầu tư trong năm,Đầu tư trong năm,-,-,-,-,16.545.600.000,16.545.600.000,,,,,16545600000.0,16545600000.0
Phần lãi/(lỗ) trong công ty liên kết,Phần lãi/(lỗ) trong công ty liên kết,Phần lãi/(lỗ) trong công ty liên kết,108.089.099.754,-,(51.466.031.533),(742.640.079),(327.960.748),55.552.467.394,108089099754.0,,-51466031533.0,-742640079.0,-327960748.0,55552467394.0
Biến động do thay đổi trong vốnchủ sở hữu của công ty liên kết,Biến động do thay đổi trong vốnchủ sở hữu của công ty liên kết,Biến động do thay đổi trong vốnchủ sở hữu của công ty liên kết,440.835.699,-,-,-,-,440.835.699,440835699.0,,,,,440835699.0
Số cuối năm,Số cuối năm,Số cuối năm,1.361.974.154.251,300.000.000.000,34.924.178.009,67.657.359.921,16.217.639.252,1.780.773.331.433,1361974154251.0,300000000000.0,34924178009.0,67657359921.0,16217639252.0,1780773331433.0
