row_label_raw,row_label_full,col_0,TÀI SẢN,Thuyết > Mã số,Thuyết > minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Thuyết > Mã số,numeric__Thuyết > minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,11.299.127.185.804,8.085.980.091.224,,100.0,,11299127185804.0,8085980091224.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,6,3.811.436.397.959,2.277.327.707.879,,110.0,6.0,3811436397959.0,2277327707879.0
1.,1.,1.,Tiền,111,,624.039.397.959,734.582.707.879,,111.0,,624039397959.0,734582707879.0
2.,2.,2.,Các khoản tương đương tiền,112,,3.187.397.000.000,1.542.745.000.000,,112.0,,3187397000000.0,1542745000000.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,7,1.459.344.220.559,1.016.759.191.654,,120.0,7.0,1459344220559.0,1016759191654.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,1.459.344.220.559,1.016.759.191.654,,123.0,,1459344220559.0,1016759191654.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,4.414.386.288.023,3.112.002.764.045,,130.0,,4414386288023.0,3112002764045.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,8,3.028.369.332.503,2.015.189.876.899,,131.0,8.0,3028369332503.0,2015189876899.0
2.,2.,2.,Trá trước cho người bán ngắn hạn,132,9,537.785.041.856,456.269.424.703,,132.0,9.0,537785041856.0,456269424703.0
3.,3.,3.,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,10,7.467.863.467,9.187.149.775,,134.0,10.0,7467863467.0,9187149775.0
4.,4.,4.,Phải thu về cho vay ngắn hạn,135,11,187.580.567.330,309.543.410.051,,135.0,11.0,187580567330.0,309543410051.0
5.,5.,5.,Phải thu ngắn hạn khác,136,12,825.309.695.323,416.873.034.466,,136.0,12.0,825309695323.0,416873034466.0
6.,6.,6.,Dự phòng phải thu ngắn hạn khó đòi,137,13,(172.126.212.456),(95.060.131.849),,137.0,13.0,-172126212456.0,-95060131849.0
IV.,IV.,IV.,Hàng tồn kho,140,14,1.483.497.993.111,1.587.602.430.478,,140.0,14.0,1483497993111.0,1587602430478.0
1.,1.,1.,Hàng tồn kho,141,,1.520.833.020.606,1.587.734.464.304,,141.0,,1520833020606.0,1587734464304.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(37.335.027.495),(132.033.826),,149.0,,-37335027495.0,-132033826.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,130.462.286.152,92.287.997.168,,150.0,,130462286152.0,92287997168.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,15,22.142.767.403,17.708.787.217,,151.0,15.0,22142767403.0,17708787217.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,107.231.116.588,70.925.701.528,,152.0,,107231116588.0,70925701528.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,16,1.088.402.161,1.173.507.815,,153.0,16.0,1088402161.0,1173507815.0
4.,4.,4.,Tài sản ngắn hạn khác,155,,-,2.480.000.608,,155.0,,,2480000608.0
