row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Chênh lệch đánh giá lại tài sản,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Chênh lệch đánh giá lại tài sản,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,,
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,,,,,,,,,,
Số dư đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Số dư đầu năm,Số dư đầu năm,3.576.421.210.000,711.136.556.786,50.847.073.442,708.285.511,(3.183.517.143),298.573.907.310,65.403.533.120,826.354.445.227,2.189.757.798.643,7.716.019.292.896,3576421210000.0,711136556786.0,50847073442.0,708285511.0,-3183517143.0,298573907310.0,65403533120.0,826354445227.0,2189757798643.0,7716019292896.0
Lợi nhuận trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,1.041.376.121.606,314.710.149.650,1.356.086.271.256,,,,,,,,1041376121606.0,314710149650.0,1356086271256.0
Phát hành cổ phiếu để tăng vốn cổ phần từ nguồn vốn chủ sở hữu,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Phát hành cổ phiếu để tăng vốn cổ phần từ nguồn vốn chủ sở hữu,Phát hành cổ phiếu để tăng vốn cổ phần từ nguồn vốn chủ sở hữu,536.432.220.000,(536.432.220.000),-,-,-,-,-,-,-,-,536432220000.0,-536432220000.0,,,,,,,,
Tăng vốn tại công ty con bằng lợi nhuận sau thuế chưa phân phối,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Tăng vốn tại công ty con bằng lợi nhuận sau thuế chưa phân phối,Tăng vốn tại công ty con bằng lợi nhuận sau thuế chưa phân phối,-,-,30.368.306.700,-,-,-,-,(30.368.306.700),-,-,,,30368306700.0,,,,,-30368306700.0,,
Cổ đông không kiểm soát góp vốn vào công ty con,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Cổ đông không kiểm soát góp vốn vào công ty con,Cổ đông không kiểm soát góp vốn vào công ty con,-,-,-,-,-,-,-,-,105.109.788.358,105.109.788.358,,,,,,,,,105109788358.0,105109788358.0
Chia cổ tức cho cổ đông không kiểm soát,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Chia cổ tức cho cổ đông không kiểm soát,Chia cổ tức cho cổ đông không kiểm soát,-,-,-,-,-,-,-,-,(239.624.556.285),(239.624.556.285),,,,,,,,,-239624556285.0,-239624556285.0
Thoái vốn đầu tư vào công ty con,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Thoái vốn đầu tư vào công ty con,Thoái vốn đầu tư vào công ty con,-,-,-,-,-,(1.684.335.744),-,1.684.335.744,(69.089.644),(69.089.644),,,,,,-1684335744.0,,1684335744.0,-69089644.0,-69089644.0
Biến động do thay đổi trong vốn chủ sở hữu của công ty liên kết,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Biến động do thay đổi trong vốn chủ sở hữu của công ty liên kết,Biến động do thay đổi trong vốn chủ sở hữu của công ty liên kết,-,-,-,-,-,-,-,440.835.699,-,440.835.699,,,,,,,,440835699.0,,440835699.0
Chênh lệch tỷ giá do chuyển đổi báo cáo,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Chênh lệch tỷ giá do chuyển đổi báo cáo,Chênh lệch tỷ giá do chuyển đổi báo cáo,-,-,-,-,1.233.656.863,-,-,-,-,1.233.656.863,,,,,1233656863.0,,,,,1233656863.0
Trích quỹ đầu tư phát triển,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,-,2.933.387.468,-,(2.933.387.468),-,-,,,,,,2933387468.0,,-2933387468.0,,
