row_label_raw,row_label_full,col_0,Loại tiên,Số cuối năm,Số đầu năm,numeric__Loại tiên,numeric__Số cuối năm,numeric__Số đầu năm
,,,Loại tiên,VND,VND,,,
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,VND,1.312.542.964.120,757.606.557.645,,1312542964120.0,757606557645.0
Ngân hàng TNHH MTV HSBC,Ngân hàng TNHH MTV HSBC,Ngân hàng TNHH MTV HSBC,VND,493.689.156.824,98.415.102.212,,493689156824.0,98415102212.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,VND,376.229.887.961,252.648.011.672,,376229887961.0,252648011672.0
Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng TMCP Quốc tế Việt Nam,Ngân hàng TMCP Quốc tế Việt Nam,VND,292.951.716.586,341.644.138.655,,292951716586.0,341644138655.0
Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,VND,195.847.085.389,191.093.418.913,,195847085389.0,191093418913.0
Ngân hàng Bank of China (Hong Kong) Limited - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Bank of China (Hong Kong) Limited - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Bank of China (Hong Kong) Limited - Chi nhánh Thành phố Hồ Chí Minh,VND,185.857.604.189,-,,185857604189.0,
Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,VND,141.290.586.339,196.861.263.264,,141290586339.0,196861263264.0
Ngân hàng TNHH MTV United Overseas Bank (Việt Nam),Ngân hàng TNHH MTV United Overseas Bank (Việt Nam),Ngân hàng TNHH MTV United Overseas Bank (Việt Nam),VND,64.550.769.895,2.797.252.789,,64550769895.0,2797252789.0
Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,VND,23.491.299.466,90.023.511.038,,23491299466.0,90023511038.0
Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,VND,6.617.597.379,820.230.564,,6617597379.0,820230564.0
Ngân hàng BNP Paribas - Chi nhánh Hà Nội,Ngân hàng BNP Paribas - Chi nhánh Hà Nội,Ngân hàng BNP Paribas - Chi nhánh Hà Nội,VND,-,171.609.360.756,,,171609360756.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,VND,7.549.150.000,-,,7549150000.0,
,,,,3.100.617.818.148,2.103.518.847.508,,3100617818148.0,2103518847508.0
