row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,ThuyếtMã số minh,ThuyếtMã số minh_1,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN_1,numeric__ThuyếtMã số minh,numeric__ThuyếtMã số minh_1,numeric__Số cuối năm,numeric__Số đầu năm
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,8.877.472.938.557,7.716.019.292.896,,400.0,,8877472938557.0,7716019292896.0
I.,I.,I.,Vốn chủ sở hữu,410,33,8.877.472.938.557,7.716.019.292.896,,410.0,33.0,8877472938557.0,7716019292896.0
1.,1.,1.,Vốn cổ phần,411,,4.112.853.430.000,3.576.421.210.000,,411.0,,4112853430000.0,3576421210000.0
1.,1.,1.,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,4.112.853.430.000,3.576.421.210.000,,,,4112853430000.0,3576421210000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,174.704.336.786,711.136.556.786,,412.0,,174704336786.0,711136556786.0
3.,3.,3.,Vốn khác của chủ sở hữu,414,,81.215.380.142,50.847.073.442,,414.0,,81215380142.0,50847073442.0
4.,4.,4.,Chênh lệch đánh giá lại tài sản,416,,708.285.511,708.285.511,,416.0,,708285511.0,708285511.0
5.,5.,5.,Chênh lệch tỷ giá hối đoái,417,,(1.949.860.280),(3.183.517.143),,417.0,,-1949860280.0,-3183517143.0
6.,6.,6.,Quỹ đầu tư phát triển,418,,299.822.959.034,298.573.907.310,,418.0,,299822959034.0,298573907310.0
7.,7.,7.,Quỹ khác thuộc vốn chủ sở hữu,420,,65.403.533.120,65.403.533.120,,420.0,,65403533120.0,65403533120.0
8.,8.,8.,Lợi nhuận sau thuế chưa phân phối,421,,1.777.265.588.035,826.354.445.227,,421.0,,1777265588035.0,826354445227.0
8.,8.,8.,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,746.929.466.429,364.771.554.741,,,,746929466429.0,364771554741.0
8.,8.,8.,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,1.030.336.121.606,461.582.890.486,,,,1030336121606.0,461582890486.0
9.,9.,9.,Lợi ích của cổ đông không kiểm soát,429,,2.367.449.286.209,2.189.757.798.643,,429.0,,2367449286209.0,2189757798643.0
,,,TỔNG CỘNG NGUỒN VỐN(440=300+400),440,,24.562.870.833.213,20.987.644.741.128,,440.0,,24562870833213.0,20987644741128.0
