row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu nămVND,numeric__Số cuối nămVND,numeric__Số đầu nămVND
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,
Tạm ứng đèn bù giải phóng mặt bằng (i),a. Ngắn hạn > Tạm ứng đèn bù giải phóng mặt bằng (i),Tạm ứng đèn bù giải phóng mặt bằng (i),575.883.018.338,170.802.845.302,575883018338.0,170802845302.0
"Phải thu về lãi tiền gửi, tiền cho vay","a. Ngắn hạn > Phải thu về lãi tiền gửi, tiền cho vay","Phải thu về lãi tiền gửi, tiền cho vay",74.013.089.464,53.533.562.158,74013089464.0,53533562158.0
Tạm ứng cho nhân viên,a. Ngắn hạn > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,63.862.805.258,118.427.028.832,63862805258.0,118427028832.0
Phải thu về chuyển nhượng công ty con,a. Ngắn hạn > Phải thu về chuyển nhượng công ty con,Phải thu về chuyển nhượng công ty con,51.999.987.500,-,51999987500.0,
"Ký cược, ký quỹ","a. Ngắn hạn > Ký cược, ký quỹ","Ký cược, ký quỹ",30.609.529.007,18.823.501.517,30609529007.0,18823501517.0
"Phải thu tạm ứng các đội, ban chỉ huy Công trình","a. Ngắn hạn > Phải thu tạm ứng các đội, ban chỉ huy Công trình","Phải thu tạm ứng các đội, ban chỉ huy Công trình",16.437.272.984,18.596.869.461,16437272984.0,18596869461.0
Phải thu về cổ tức từ công ty liên kết,a. Ngắn hạn > Phải thu về cổ tức từ công ty liên kết,Phải thu về cổ tức từ công ty liên kết,1.428.000,33.029.268.000,1428000.0,33029268000.0
Phải thu khác,a. Ngắn hạn > Phải thu khác,Phải thu khác,12.502.564.772,3.659.959.196,12502564772.0,3659959196.0
,,,825.309.695.323,416.873.034.466,825309695323.0,416873034466.0
Trong đó: Phải thu ngắn hạn khác từ các bên liên quan (Chỉ tiết tại Thuyết minh số 44),a. Ngắn hạn > Trong đó: Phải thu ngắn hạn khác từ các bên liên quan (Chỉ tiết tại Thuyết minh số 44),Trong đó: Phải thu ngắn hạn khác từ các bên liên quan (Chỉ tiết tại Thuyết minh số 44),1.428.000,33.029.268.000,1428000.0,33029268000.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,,
"Ký cược, ký quỹ dài hạn","b. Dài hạn > Ký cược, ký quỹ dài hạn","Ký cược, ký quỹ dài hạn",16.922.827.065,32.830.193.500,16922827065.0,32830193500.0
,,,16.922.827.065,32.830.193.500,16922827065.0,32830193500.0
