row_label_raw,row_label_full,Cho bên liên quan vay (Thuyết minh số 31),Số cuối năm > 283.880.294.880,VND Số đầu năm > 261.093.500.823,numeric__Số cuối năm > 283.880.294.880,numeric__VND Số đầu năm > 261.093.500.823
Cho bên khác vay,Cho bên khác vay,Cho bên khác vay,26.797.972.467,38.541.909.696,26797972467.0,38541909696.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,310.678.267.347,299.635.410.519,310678267347.0,299635410519.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(1.876.340.535),(8.880.730.653),-1876340535.0,-8880730653.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,308.801.926.812,290.754.679.866,308801926812.0,290754679866.0
