row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Khác,numeric__VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm và số cuối năm,Nguyên giá > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,4.500.924.600,7.400.232.323,1.216.005.358,13.117.162.281,4500924600.0,7400232323.0,1216005358.0,13117162281.0
Trong đó: Đã hao mòn hết,Nguyên giá > Trong đó: Đã hao mòn hết,Trong đó: Đã hao mòn hết,-,703.656.206,-,703.656.206,,703656206.0,,703656206.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,-,(3.010.794.244),(486.109.242),(3.496.903.486),,-3010794244.0,-486109242.0,-3496903486.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,-,(1.169.276.116),(183.336.504),(1.352.612.620),,-1169276116.0,-183336504.0,-1352612620.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,-,(4.180.070.360),(669.445.746),(4.849.516.106),,-4180070360.0,-669445746.0,-4849516106.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,4.500.924.600,4.389.438.079,729.896.116,9.620.258.795,4500924600.0,4389438079.0,729896116.0,9620258795.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,4.500.924.600,3.220.161.963,546.559.612,8.267.646.175,4500924600.0,3220161963.0,546559612.0,8267646175.0
Trong đó: Tài sản sử dụng để thế chấp (Thuyết minh số 21.1),Giá trị còn lại > Trong đó: Tài sản sử dụng để thế chấp (Thuyết minh số 21.1),Trong đó: Tài sản sử dụng để thế chấp (Thuyết minh số 21.1),4.500.924.600,-,-,4.500.924.600,4500924600.0,,,4500924600.0
