row_label_raw,row_label_full,Số đầu năm > Dự phòng trích lập trong năm > Hoàn nhập dự phòng trong năm,Năm nay > (155.448.133.048) > (113.913.957.138) > 146.730.667.949,VNDNăm trước > (17.742.973.313) > (200.155.292.127) > 62.450.132.392,numeric__Năm nay > (155.448.133.048) > (113.913.957.138) > 146.730.667.949,numeric__VNDNăm trước > (17.742.973.313) > (200.155.292.127) > 62.450.132.392
Xóa số dự phòng đã trích lập,Xóa số dự phòng đã trích lập,Xóa số dự phòng đã trích lập,31.373.344.051,-,31373344051.0,
Số cuối năm,Số cuối năm,Số cuối năm,(91.258.078.186),(155.448.133.048),-91258078186.0,-155448133048.0
