row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,529.630.366,635.976.000.891,14.309.513.881,10.616.105.113,661.431.250.251,529630366.0,635976000891.0,14309513881.0,10616105113.0,661431250251.0
Mua mới,Nguyên giá > Mua mới,Mua mới,-,209.954.835.505,327.272.727,766.462.030,211.048.570.262,,209954835505.0,327272727.0,766462030.0,211048570262.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,150.483.003.145,5.926.862.701,-,156.409.865.846,,150483003145.0,5926862701.0,,156409865846.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(31.238.074.964),(329.874.545),-,(31.567.949.509),,-31238074964.0,-329874545.0,,-31567949509.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,529.630.366,965.175.764.577,20.233.774.764,11.382.567.143,997.321.736.850,529630366.0,965175764577.0,20233774764.0,11382567143.0,997321736850.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,11.023.159.117,1.908.051.527,536.743.033,13.467.953.677,,11023159117.0,1908051527.0,536743033.0,13467953677.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,(159.409.694),(282.044.752.054),(8.000.332.146),(3.804.512.696),(294.009.006.590),-159409694.0,-282044752054.0,-8000332146.0,-3804512696.0,-294009006590.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(11.073.000),(94.196.911.199),(1.887.523.080),(1.693.789.822),(97.789.297.101),-11073000.0,-94196911199.0,-1887523080.0,-1693789822.0,-97789297101.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,23.806.011.623,291.389.178,-,24.097.400.801,,23806011623.0,291389178.0,,24097400801.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(170.482.694),(352.435.651.630),(9.596.466.048),(5.498.302.518),(367.700.902.890),-170482694.0,-352435651630.0,-9596466048.0,-5498302518.0,-367700902890.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,370.220.672,353.931.248.837,6.309.181.735,6.811.592.417,367.422.243.661,370220672.0,353931248837.0,6309181735.0,6811592417.0,367422243661.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,359.147.672,612.740.112.947,10.637.308.716,5.884.264.625,629.620.833.960,359147672.0,612740112947.0,10637308716.0,5884264625.0,629620833960.0
Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 21),Giá trị còn lại > Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 21),Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 21),184.257.601,150.476.925.452,-,-,150.661.183.053,184257601.0,150476925452.0,,,150661183053.0
