row_label_raw,row_label_full,Người cho vay > Cá nhân,Số cuối năm(VND) > 6.052.922.481,Ngày đáo hạn > Từ ngày 10 tháng 3năm 2016 đến ngày 9tháng 11 năm 2016,"Lãi suất(%/năm) > 7,5 – 14,5",Chỉ tiết tài sảnđảm bảo > Tín chấp,numeric__Số cuối năm(VND) > 6.052.922.481,numeric__Ngày đáo hạn > Từ ngày 10 tháng 3năm 2016 đến ngày 9tháng 11 năm 2016,"numeric__Lãi suất(%/năm) > 7,5 – 14,5",numeric__Chỉ tiết tài sảnđảm bảo > Tín chấp
Nhân viên,Nhân viên,Nhân viên,1.549.800.823,Khi có yêu cầu,"9,0",Tín chấp,1549800823.0,,9.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,7.602.723.304,,,,7602723304.0,,,
