row_label_raw,row_label_full,Công ty TNHH Đầu tưĐịa ốc Tiến Phát,Bên liên quan,Dịch vụxây dựng,54.126.235.323,col_4,numeric__Bên liên quan,numeric__Dịch vụxây dựng,numeric__54.126.235.323,numeric__col_4
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,,
Công ty Cổ phần NhàHòa Bình,Phải thu về cho vay ngắn hạn > Công ty Cổ phần NhàHòa Bình,Công ty Cổ phần NhàHòa Bình,Công ty con,Cho vay,216.596.807.184,231.627.783.347,,,216596807184.0,231627783347.0
Công ty TNHH Đầu tưĐịa ốc Tiến Phát,Phải thu về cho vay ngắn hạn > Công ty TNHH Đầu tưĐịa ốc Tiến Phát,Công ty TNHH Đầu tưĐịa ốc Tiến Phát,Bên liên quan,Cho vay,38.360.822.478,-,,,38360822478.0,
Công ty Cổ phầnSản xuất và Trang tríMộc Hòa Bình,Phải thu về cho vay ngắn hạn > Công ty Cổ phầnSản xuất và Trang tríMộc Hòa Bình,Công ty Cổ phầnSản xuất và Trang tríMộc Hòa Bình,Công ty con,Cho vay,19.110.756.651,21.817.736.744,,,19110756651.0,21817736744.0
Công ty Cổ phần Kỹthuật Hòa Bình Jesco,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Kỹthuật Hòa Bình Jesco,Công ty Cổ phần Kỹthuật Hòa Bình Jesco,Công tyliên kết,Cho vay,3.106.027.778,-,,,3106027778.0,
Công ty Cổ phầnXuất Nhập Khẩu Việt Ta,Phải thu về cho vay ngắn hạn > Công ty Cổ phầnXuất Nhập Khẩu Việt Ta,Công ty Cổ phầnXuất Nhập Khẩu Việt Ta,Công ty con,Cho vay,2.992.011.613,1.751.829.188,,,2992011613.0,1751829188.0
Công ty TNHH Xây dựng Anh Huy,Phải thu về cho vay ngắn hạn > Công ty TNHH Xây dựng Anh Huy,Công ty TNHH Xây dựng Anh Huy,Công ty con,Cho vay,2.137.528.641,3.119.811.009,,,2137528641.0,3119811009.0
Công ty Cổ phầnVị Tâm,Phải thu về cho vay ngắn hạn > Công ty Cổ phầnVị Tâm,Công ty Cổ phầnVị Tâm,Công ty con,Cho vay,1.576.340.535,1.576.340.535,,,1576340535.0,1576340535.0
Công ty TNHH SơnHòa Bình,Phải thu về cho vay ngắn hạn > Công ty TNHH SơnHòa Bình,Công ty TNHH SơnHòa Bình,Công ty con,Cho vay,-,1.200.000.000,,,,1200000000.0
,,,,,283.880.294.880,261.093.500.823,,,283880294880.0,261093500823.0
