row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,Công ty con,Thuê máy móc thiết bị Cho thuê máy móc thiết bị Chi trả hộ,341.597.000.101234.488.386.304327.637.454,227.364.490.541169.007.102.795-,,,3.415970001012345e+32,
Công ty Cổ phần Kỹ thuật Hòa Bình Jesco,Công ty Cổ phần Kỹ thuật Hòa Bình Jesco,Công ty Cổ phần Kỹ thuật Hòa Bình Jesco,Công ty liên kết,Chi phí thầu phụ Cho vay Lãi cho vay Góp vốn,216.291.493.34513.100.000.00043.944.445-,105.256.863.6014.000.000.00039.935.060318.280.055,,,,1.052568636014e+38
Công ty Cổ phần Nhà Hòa Bình,Công ty Cổ phần Nhà Hòa Bình,Công ty Cổ phần Nhà Hòa Bình,Công ty con,Cho vay Lãi cho vay Thuê văn phòng Doanh thu cho thuê Dịch vụ môi giới Chi hộ,81.006.861.64610.156.542.5318.835.896.2222.923.362.491515.098.099258.443.850,253.140.123.3429.999.416.6236.672.361.667438.255.7423.831.712.54120.710.205,,,8.100686164610157e+59,2.5314012334299996e+58
Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty con,Cho vay Góp vốn Chi phí thầu phụ Lãi cho vay Mua tài sản cố định,44.964.662.98130.200.000.00014.913.962.9074.647.111.117327.272.727,31.504.000.000-17.406.244.8931.434.999.073-,,,4.4964662981302e+51,
Công ty TNHH Xây dựng Anh Huy,Công ty TNHH Xây dựng Anh Huy,Công ty TNHH Xây dựng Anh Huy,Công ty con,Chi phí thầu phụ Cho vay Góp vốn Lãi cho vay,37.612.520.6848.230.000.000500.000.000438.728.578,19.337.563.76510.142.000.0001.500.000.000257.843.131,,,3.7612520684823e+38,1.933756376510142e+40
Công ty Cổ phần Xuất Nhập Khẩu Việt Ta,Công ty Cổ phần Xuất Nhập Khẩu Việt Ta,Công ty Cổ phần Xuất Nhập Khẩu Việt Ta,Công ty con,Mua vật tư xây dựng Cho vay Lãi cho vay,20.754.818.3446.193.748.984312.607.223,31.735.926.2987.942.000.000164.195.033,,,2.0754818344619376e+29,3.17359262987942e+29
Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty con,Cho vay Chi phí thầu phụ Chi hộ,11.000.000.0002.025.121.400101.942.754,1.200.000.0003.073.369.685118.998.678,,,1.1000000000202511e+29,1.200000000307337e+28
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty con,Chi phí thầu phụ,7.184.994.000,2.199.720.656,,,7184994000.0,2199720656.0
Công ty TNHH Hòa Bình Myanmar,Công ty TNHH Hòa Bình Myanmar,Công ty TNHH Hòa Bình Myanmar,Công ty con,Góp vốn Mượn,1.066.500.000544.500.000,-,,,1.0665000005445e+18,
Công ty Cổ phần Đầu tư Phát triển Hòa Yên,Công ty Cổ phần Đầu tư Phát triển Hòa Yên,Công ty Cổ phần Đầu tư Phát triển Hòa Yên,Công ty con,Chi hộ Góp vốn,1.322.719.928607.040.327,45.000.0001.631.409.084,,,1.3227199286070403e+18,4.500000016314091e+17
