row_label_raw,row_label_full,Số đầu năm > Dự phòng trích lập trong năm,Năm nay > (15.087.693.330) > (2.076.033.575),VNDNăm trước > (8.916.527.518) > (6.171.165.812),numeric__Năm nay > (15.087.693.330) > (2.076.033.575),numeric__VNDNăm trước > (8.916.527.518) > (6.171.165.812)
Xóa số dự phòng đã trích lập,Xóa số dự phòng đã trích lập,Xóa số dự phòng đã trích lập,12.416.689.791,-,12416689791.0,
Hoàn nhập dự phòng trong năm,Hoàn nhập dự phòng trong năm,Hoàn nhập dự phòng trong năm,485.720.614,-,485720614.0,
Số cuối năm,Số cuối năm,Số cuối năm,(4.261.316.500),(15.087.693.330),-4261316500.0,-15087693330.0
