row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Công ty Cổ phần Nhà Hòa Bình,Phải thu ngắn hạn khác > Công ty Cổ phần Nhà Hòa Bình,Công ty Cổ phần Nhà Hòa Bình,Công ty con,Chi phí trả hộ,15.442.165.681,15.442.165.681,,,15442165681.0,15442165681.0
Công ty TNHH Xây dựng Anh Huy,Phải thu ngắn hạn khác > Công ty TNHH Xây dựng Anh Huy,Công ty TNHH Xây dựng Anh Huy,Công ty con,Cổ tức,786.175.456,-,,,786175456.0,
Công ty TNHH Hòa Bình Myanmar,Phải thu ngắn hạn khác > Công ty TNHH Hòa Bình Myanmar,Công ty TNHH Hòa Bình Myanmar,Công ty con,Chi phí trả hộ,191.385.590,-,,,191385590.0,
Công ty Cổ phần Đầu tư Hòa Bình Huế,Phải thu ngắn hạn khác > Công ty Cổ phần Đầu tư Hòa Bình Huế,Công ty Cổ phần Đầu tư Hòa Bình Huế,Công ty con,Lãi vay,144.247.997,98.698.371,,,144247997.0,98698371.0
Công ty Cổ phần Vị Tàm,Phải thu ngắn hạn khác > Công ty Cổ phần Vị Tàm,Công ty Cổ phần Vị Tàm,Công ty con,Lãi vay,101.493.400,81.493.400,,,101493400.0,81493400.0
Công ty Cổ phần Đầu tư Phát triển Hòa Yên,Phải thu ngắn hạn khác > Công ty Cổ phần Đầu tư Phát triển Hòa Yên,Công ty Cổ phần Đầu tư Phát triển Hòa Yên,Công ty con,Lãi vay,45.000.000,45.000.000,,,45000000.0,45000000.0
Công ty Cổ phần Xuất Nhập Khẩu Việt Ta,Phải thu ngắn hạn khác > Công ty Cổ phần Xuất Nhập Khẩu Việt Ta,Công ty Cổ phần Xuất Nhập Khẩu Việt Ta,Công ty con,Chi phí trả hộ,17.089.272,-,,,17089272.0,
Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Phải thu ngắn hạn khác > Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty con,Chi phí trả hộ,-,1.476.521.398,,,,1476521398.0
Công ty Cổ phần Kỹ thuật Hòa Bình Jesco,Phải thu ngắn hạn khác > Công ty Cổ phần Kỹ thuật Hòa Bình Jesco,Công ty Cổ phần Kỹ thuật Hòa Bình Jesco,Công ty liên kết,Chi phí trả hộ,-,12.058.032,,,,12058032.0
Công ty TNHH MTV Máy Xây dựng Matec,Phải thu ngắn hạn khác > Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,Công ty con,Chi phí trả hộ,-,1.529.452,,,,1529452.0
Công ty Liên doanh Hòa Bình GS,Phải thu ngắn hạn khác > Công ty Liên doanh Hòa Bình GS,Công ty Liên doanh Hòa Bình GS,Công ty liên doanh,Phí bảo lãnh,-,355.183.511,,,,355183511.0
,,,,,16.727.557.396,17.512.649.845,,,16727557396.0,17512649845.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,,
Công ty Cổ phần Nhà Hòa Bình,Phải thu dài hạn khác > Công ty Cổ phần Nhà Hòa Bình,Công ty Cổ phần Nhà Hòa Bình,Công ty con,Ký quỹ thuê văn phòng,1.055.847.327,965.279.031,,,1055847327.0,965279031.0
