row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,,,,
Công ty Cổ phần Kỹ thuật Hòa Bình Jesco,Chi phí phải trả ngắn hạn > Công ty Cổ phần Kỹ thuật Hòa Bình Jesco,Công ty Cổ phần Kỹ thuật Hòa Bình Jesco,Công ty liên kết,Chi phí thầu phụ,114.006.984.747,42.085.880.352,,,114006984747.0,42085880352.0
Công ty TNHH Xây dựng Anh Huy,Chi phí phải trả ngắn hạn > Công ty TNHH Xây dựng Anh Huy,Công ty TNHH Xây dựng Anh Huy,Công ty con,Chi phí thầu phụ,19.082.031.870,16.229.547.910,,,19082031870.0,16229547910.0
Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Chi phí phải trả ngắn hạn > Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty con,Chi phí thầu phụ,8.839.201.813,23.874.217.316,,,8839201813.0,23874217316.0
Công ty Cổ phần Xuất Nhập Khẩu Việt Ta,Chi phí phải trả ngắn hạn > Công ty Cổ phần Xuất Nhập Khẩu Việt Ta,Công ty Cổ phần Xuất Nhập Khẩu Việt Ta,Công ty con,Chi phí thầu phụ,2.888.663.315,15.153.373.903,,,2888663315.0,15153373903.0
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Chi phí phải trả ngắn hạn > Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty con,Chi phí thầu phụ,2.692.000.000,-,,,2692000000.0,
Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Chi phí phải trả ngắn hạn > Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty con,Chi phí thầu phụ,2.000.000.000,2.000.000.000,,,2000000000.0,2000000000.0
Công ty TNHH Sơn Hòa Bình,Chi phí phải trả ngắn hạn > Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty con,Chi phí thầu phụ,1.027.939.173,1.416.108.588,,,1027939173.0,1416108588.0
,,,,,150.536.820.918,100.759.128.069,,,150536820918.0,100759128069.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,,
Công ty Cổ phần Đầu tư Phát triển Hòa Bình Huế,Phải trả ngắn hạn khác > Công ty Cổ phần Đầu tư Phát triển Hòa Bình Huế,Công ty Cổ phần Đầu tư Phát triển Hòa Bình Huế,Công ty con,Chi hộ,800.000.000,800.000.000,,,800000000.0,800000000.0
Công ty TNHH Hòa Bình Myanmar,Phải trả ngắn hạn khác > Công ty TNHH Hòa Bình Myanmar,Công ty TNHH Hòa Bình Myanmar,Công ty con,Mượn tiền,544.500.000,-,,,544500000.0,
Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Phải trả ngắn hạn khác > Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty con,Chi hộ,100.000.000,100.000.000,,,100000000.0,100000000.0
,,,,,1.444.500.000,900.000.000,,,1444500000.0,900000000.0
