row_label_raw,row_label_full,Tên công ty con,Hoạt động chính,Tình trạng,Số cuối năm > % sở hữu,Số cuối năm > Giá trị VND,Số đầu năm > % sở hữu,Số đầu năm > Giá trị VND,numeric__Hoạt động chính,numeric__Tình trạng,numeric__Số cuối năm > % sở hữu,numeric__Số cuối năm > Giá trị VND,numeric__Số đầu năm > % sở hữu,numeric__Số đầu năm > Giá trị VND
Công ty TNHH Hòa Bình Myanmar (i),Công ty TNHH Hòa Bình Myanmar (i),Công ty TNHH Hòa Bình Myanmar (i),"Thiết kế, xây dựng và cung cấp dịch vụ giám định kỹ thuật, quản lý xây dựng và quản lý dự án",Trước hoạt động,"100,00",1.066.500.000,-,-,,,100.0,1066500000.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,,334.685.306.524,,302.361.766.197,,,,334685306524.0,,302361766197.0
Dự phòng đầu tư vào các công ty con,Dự phòng đầu tư vào các công ty con,Dự phòng đầu tư vào các công ty con,,,,(195.924.735.199),,(132.072.002.355),,,,-195924735199.0,,-132072002355.0
ĐẦU TƯ THUẢN,ĐẦU TƯ THUẢN,ĐẦU TƯ THUẢN,,,,138.760.571.325,,170.289.763.842,,,,138760571325.0,,170289763842.0
