row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,518.754.940.000,301.199.313.203,(110.073.072.979),65.175.776.868,25.671.388.714,123.743.070.586,924.471.416.392,518754940000.0,301199313203.0,-110073072979.0,65175776868.0,25671388714.0,123743070586.0,924471416392.0
Phát hành cổ phiếu,Năm trước > Phát hành cổ phiếu,Phát hành cổ phiếu,7.035.900.000,-,-,-,-,-,7.035.900.000,7035900000.0,,,,,,7035900000.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,74.025.511.497,74.025.511.497,,,,,,74025511497.0,74025511497.0
Phát hành cổ phiếu thường,Năm trước > Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,47.894.830.000,-,-,-,-,(47.894.830.000),-,47894830000.0,,,,,-47894830000.0,
Cổ tức công bố,Năm trước > Cổ tức công bố,Cổ tức công bố,-,-,-,-,-,(23.951.502.000),(23.951.502.000),,,,,,-23951502000.0,-23951502000.0
Phân phối lợi nhuận,Năm trước > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,-,3.701.275.575,(3.701.275.575),-,,,,,3701275575.0,-3701275575.0,
"Trích lập quỹ khen thường,phúc lợi","Năm trước > Trích lập quỹ khen thường,phúc lợi","Trích lập quỹ khen thường,phúc lợi",-,-,-,-,-,(7.394.746.440),(7.394.746.440),,,,,,-7394746440.0,-7394746440.0
Thù lao Hội đồng quản trị,Năm trước > Thù lao Hội đồng quản trị,Thù lao Hội đồng quản trị,-,-,-,-,-,(540.000.000),(540.000.000),,,,,,-540000000.0,-540000000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,573.685.670.000,301.199.313.203,(110.073.072.979),65.175.776.868,29.372.664.289,114.286.228.068,973.646.579.449,573685670000.0,301199313203.0,-110073072979.0,65175776868.0,29372664289.0,114286228068.0,973646579449.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm(dã được trình bày trước đây),Năm nay > Số đầu năm(dã được trình bày trước đây),Số đầu năm(dã được trình bày trước đây),573.685.670.000,301.199.313.203,(110.073.072.979),65.175.776.868,29.372.664.289,114.286.228.068,973.646.579.449,573685670000.0,301199313203.0,-110073072979.0,65175776868.0,29372664289.0,114286228068.0,973646579449.0
Trình bày lại(Thuyết minh số 34),Năm nay > Trình bày lại(Thuyết minh số 34),Trình bày lại(Thuyết minh số 34),-,-,-,29.372.664.289,(29.372.664.289),-,-,,,,29372664289.0,-29372664289.0,,
Số đầu năm(dã được phân loại lại),Năm nay > Số đầu năm(dã được phân loại lại),Số đầu năm(dã được phân loại lại),573.685.670.000,301.199.313.203,(110.073.072.979),94.548.441.157,-,114.286.228.068,973.646.579.449,573685670000.0,301199313203.0,-110073072979.0,94548441157.0,,114286228068.0,973646579449.0
Phát hành cổ phiếu thường,Năm nay > Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,172.094.400.000,(172.094.400.000),-,-,-,-,-,172094400000.0,-172094400000.0,,,,,
Phát hành cổ phiếu,Năm nay > Phát hành cổ phiếu,Phát hành cổ phiếu,9.818.300.000,-,-,-,-,-,9.818.300.000,9818300000.0,,,,,,9818300000.0
Tái phát hành cổ phiếu quỹ,Năm nay > Tái phát hành cổ phiếu quỹ,Tái phát hành cổ phiếu quỹ,-,(23.061.590.222),110.073.072.979,-,-,-,87.011.482.757,,-23061590222.0,110073072979.0,,,,87011482757.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,171.791.820.634,171.791.820.634,,,,,,171791820634.0,171791820634.0
Cổ tức công bố,Năm nay > Cổ tức công bố,Cổ tức công bố,-,-,-,-,-,(86.052.850.500),(86.052.850.500),,,,,,-86052850500.0,-86052850500.0
"Trích lập quỹ khen thường,phúc lợi (*)","Năm nay > Trích lập quỹ khen thường,phúc lợi (*)","Trích lập quỹ khen thường,phúc lợi (*)",-,-,-,-,-,(16.111.529.424),(16.111.529.424),,,,,,-16111529424.0,-16111529424.0
Thù lao Hội đồng Quản trị,Năm nay > Thù lao Hội đồng Quản trị,Thù lao Hội đồng Quản trị,-,-,-,-,-,(640.000.000),(640.000.000),,,,,,-640000000.0,-640000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,755.598.370.000,106.043.322.981,-,94.548.441.157,-,183.273.668.778,1.139.463.802.916,755598370000.0,106043322981.0,,94548441157.0,,183273668778.0,1139463802916.0
