row_label_raw,row_label_full,Các khoản tương đương tiền,327.725.000.000,(327.725.000.000),col_3,numeric__327.725.000.000,numeric__(327.725.000.000),numeric__col_3
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,953.809.349.727,(953.809.349.727),,953809349727.0,-953809349727.0,
Dự phòng đầu tư tài chính ngắn hạn,Dự phòng đầu tư tài chính ngắn hạn,Dự phòng đầu tư tài chính ngắn hạn,(1.876.340.535),1.876.340.535,,-1876340535.0,1876340535.0,
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,-,981.898.939.208,981.898.939.208,,981898939208.0,981898939208.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,-,299.635.410.519,299.635.410.519,,299635410519.0,299635410519.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,60.926.974.918,5.842.885.086,66.769.860.004,60926974918.0,5842885086.0,66769860004.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(207.533.846.244),(8.880.730.653),(216.414.576.897),-207533846244.0,-8880730653.0,-216414576897.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,5.842.885.086,(5.842.885.086),,5842885086.0,-5842885086.0,
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,-,1.646.269.031,1.646.269.031,,1646269031.0,1646269031.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(153.421.972.115),7.004.390.118,(146.417.581.997),-153421972115.0,7004390118.0,-146417581997.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,1.646.269.031,(1.646.269.031),,1646269031.0,-1646269031.0,
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,1.047.005.176.505,22.483.574.893,1.069.488.751.398,1047005176505.0,22483574893.0,1069488751398.0
Người mua trả tiền trước dài hạn,Người mua trả tiền trước dài hạn,Người mua trả tiền trước dài hạn,-,112.537.784.216,112.537.784.216,,112537784216.0,112537784216.0
Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,135.021.359.109,(135.021.359.109),,135021359109.0,-135021359109.0,
Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,32.188.913.906,14.194.825.000,46.383.738.906,32188913906.0,14194825000.0,46383738906.0
Phải trả dài hạn,Phải trả dài hạn,Phải trả dài hạn,14.194.825.000,(14.194.825.000),,14194825000.0,-14194825000.0,
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,65.175.776.868,29.372.664.289,94.548.441.157,65175776868.0,29372664289.0,94548441157.0
Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,29.372.664.289,(29.372.664.289),,29372664289.0,-29372664289.0,
