row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Doanh thu gộp,Doanh thu gộp,Doanh thu gộp,5.467.582.420.793,3.707.481.422.580,5467582420793.0,3707481422580.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu hợp đồng xây dựng,Trong đó: > Doanh thu hợp đồng xây dựng,Doanh thu hợp đồng xây dựng,5.200.721.373.670,3.507.525.534.467,5200721373670.0,3507525534467.0
Doanh thu cho thuê máy móc thiết bị,Trong đó: > Doanh thu cho thuê máy móc thiết bị,Doanh thu cho thuê máy móc thiết bị,234.488.386.302,169.007.102.795,234488386302.0,169007102795.0
Doanh thu bán hàng hóa bất động sản,Trong đó: > Doanh thu bán hàng hóa bất động sản,Doanh thu bán hàng hóa bất động sản,32.372.660.821,30.948.785.318,32372660821.0,30948785318.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(54.515.478.462),(37.193.947.107),-54515478462.0,-37193947107.0
DOANH THU THUÀN,Trong đó: > DOANH THU THUÀN,DOANH THU THUÀN,5.413.066.942.331,3.670.287.475.473,5413066942331.0,3670287475473.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu hợp đồng xây dựng (*),Trong đó: > Doanh thu hợp đồng xây dựng (*),Doanh thu hợp đồng xây dựng (*),5.146.205.895.208,3.470.331.587.360,5146205895208.0,3470331587360.0
Doanh thu cho thuê máy móc thiết bị,Trong đó: > Doanh thu cho thuê máy móc thiết bị,Doanh thu cho thuê máy móc thiết bị,234.488.386.302,169.007.102.795,234488386302.0,169007102795.0
Doanh thu bán hàng hóa bất động sản,Trong đó: > Doanh thu bán hàng hóa bất động sản,Doanh thu bán hàng hóa bất động sản,32.372.660.821,30.948.785.318,32372660821.0,30948785318.0
