row_label_raw,row_label_full,Tên công ty liên kết,Hoạt động chính,Tỉnh trạng,Số cuối năm > %sở hữu,Số cuối năm > Giá trịVND,Số đầu năm > %sở hữu,Số đầu năm > Giá trịVND,numeric__Hoạt động chính,numeric__Tỉnh trạng,numeric__Số cuối năm > %sở hữu,numeric__Số cuối năm > Giá trịVND,numeric__Số đầu năm > %sở hữu,numeric__Số đầu năm > Giá trịVND
Công ty Cổ phần Đầu tư Xây dựngHạ tầng Hòa Bình,Công ty Cổ phần Đầu tư Xây dựngHạ tầng Hòa Bình,Công ty Cổ phần Đầu tư Xây dựngHạ tầng Hòa Bình,"Đầu tư, xây dựngkhu công nghiệp",Đanghoạt động,"49,00",78.883.939.051,"49,00",78.883.939.051,,,49.0,78883939051.0,49.0,78883939051.0
Công ty Cổ phần Chứng khoánSen Vàng,Công ty Cổ phần Chứng khoánSen Vàng,Công ty Cổ phần Chứng khoánSen Vàng,"Môi giới, tư vấn đầu tưvà tự doanh chứng khoán",Đanghoạt động,"37,30",37.925.000.000,"31,85",34.981.000.000,,,37.3,37925000000.0,31.85,34981000000.0
Công ty Cổ phần Kỹ thuật Hòa BìnhJesco,Công ty Cổ phần Kỹ thuật Hòa BìnhJesco,Công ty Cổ phần Kỹ thuật Hòa BìnhJesco,"Thi công lắp đặt trang thiếtbjì công trình, xây dựng hệthống điện nước, phòngchấy chữa cháy, hệ thốnglàm lạnh",Đanghoạt động,"47,82",17.421.260.000,"47,82",17.421.260.000,,,47.82,17421260000.0,47.82,17421260000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,,134.230.199.051,,131.286.199.051,,,,134230199051.0,,131286199051.0
Dự phòng đầu tư vào các công ty liên kết,Dự phòng đầu tư vào các công ty liên kết,Dự phòng đầu tư vào các công ty liên kết,,,,(15.939.581.067),,(13.986.268.518),,,,-15939581067.0,,-13986268518.0
ĐẦU TƯ THUÀN,ĐẦU TƯ THUÀN,ĐẦU TƯ THUÀN,,,,118.290.617.984,,117.299.930.533,,,,118290617984.0,,117299930533.0
