row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nôi dung nghiệp vụ,Năm nay,VND Năm trước,numeric__Môi quan hệ,numeric__Nôi dung nghiệp vụ,numeric__Năm nay,numeric__VND Năm trước
Công ty TNHH Đầu tư Địa ốc Tiến Phát,Công ty TNHH Đầu tư Địa ốc Tiến Phát,Công ty TNHH Đầu tư Địa ốc Tiến Phát,Bên liên quan,Dịch vụ xây dựng Vay Lãi cho vay,132.851.789.964 43.000.000.000 530.301.173,- - -,,,,
Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty TNHH Đầu tư Địa ốc Tiến Phát > Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty liên kết,Cổ tức nhận được,7.350.000.000,-,,,7350000000.0,
Công ty Du lịch Hòa Bình,Công ty TNHH Đầu tư Địa ốc Tiến Phát > Công ty Du lịch Hòa Bình,Công ty Du lịch Hòa Bình,Bên liên quan,Cổ tức nhận được,247.198.500,-,,,247198500.0,
Công ty Cổ phần Đầu tư Hòa Bình Huế,Công ty TNHH Đầu tư Địa ốc Tiến Phát > Công ty Cổ phần Đầu tư Hòa Bình Huế,Công ty Cổ phần Đầu tư Hòa Bình Huế,Công ty con,Chỉ hộ,45.549.626,-,,,45549626.0,
