row_label_raw,row_label_full,col_0,Nhà cửa và quyền sử dụng đất có thời hạn Triệu đồng,Quyền sử dụng đất không thời hạn Triệu đồng,Tổng cộng Triệu đồng,numeric__Nhà cửa và quyền sử dụng đất có thời hạn Triệu đồng,numeric__Quyền sử dụng đất không thời hạn Triệu đồng,numeric__Tổng cộng Triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm và cuối năm,Nguyên giá > Số đầu năm và cuối năm,Số đầu năm và cuối năm,58.066,15.964,74.030,58066.0,15964.0,74030.0
Khẩu hao và hao mòn lũy kế,Khẩu hao và hao mòn lũy kế,Khẩu hao và hao mòn lũy kế,Khẩu hao và hao mòn lũy kế,Khẩu hao và hao mòn lũy kế,Khẩu hao và hao mòn lũy kế,,,
Số đầu năm,Khẩu hao và hao mòn lũy kế > Số đầu năm,Số đầu năm,4.050,-,4.050,4050.0,,4050.0
Khẩu hao và hao mòn trong năm,Khẩu hao và hao mòn lũy kế > Khẩu hao và hao mòn trong năm,Khẩu hao và hao mòn trong năm,1.246,-,1.246,1246.0,,1246.0
Số cuối năm,Khẩu hao và hao mòn lũy kế > Số cuối năm,Số cuối năm,5.296,-,5.296,5296.0,,5296.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,54.016,15.964,69.980,54016.0,15964.0,69980.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,52.770,15.964,68.734,52770.0,15964.0,68734.0
