row_label_raw,row_label_full,col_0,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,numeric__Số cuối nămTriệu đồng,numeric__Số đầu nămTriệu đồng
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,348.211.785,153.781.044,348211785.0,153781044.0
- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,80.810.186,20.428.496,80810186.0,20428496.0
- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,80.777.940,20.403.616,80777940.0,20403616.0
- Cam kết giao dịch hoán đổi,- Cam kết giao dịch hoán đổi,- Cam kết giao dịch hoán đổi,186.623.659,112.948.932,186623659.0,112948932.0
Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,595.132,763.010,595132.0,763010.0
- Thư tín dụng trả ngày,- Thư tín dụng trả ngày,- Thư tín dụng trả ngày,293.297,512.672,293297.0,512672.0
- Thư tín dụng trả chậm,- Thư tín dụng trả chậm,- Thư tín dụng trả chậm,301.835,250.338,301835.0,250338.0
Cam kết cho vay không hủy ngang,Cam kết cho vay không hủy ngang,Cam kết cho vay không hủy ngang,42.645,34.501,42645.0,34501.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,5.263.690,4.895.559,5263690.0,4895559.0
- Cam kết bảo lãnh thanh toán,- Cam kết bảo lãnh thanh toán,- Cam kết bảo lãnh thanh toán,902.368,797.675,902368.0,797675.0
- Cam kết bảo lãnh thực hiện hợp đồng,- Cam kết bảo lãnh thực hiện hợp đồng,- Cam kết bảo lãnh thực hiện hợp đồng,455.991,609.344,455991.0,609344.0
- Cam kết bảo lãnh dự thầu,- Cam kết bảo lãnh dự thầu,- Cam kết bảo lãnh dự thầu,271.567,285.787,271567.0,285787.0
- Cam kết bảo lãnh khác,- Cam kết bảo lãnh khác,- Cam kết bảo lãnh khác,3.633.764,3.202.753,3633764.0,3202753.0
Cam kết khác,Cam kết khác,Cam kết khác,1.291.825,2.464.767,1291825.0,2464767.0
,,,355.405.077,161.938.881,355405077.0,161938881.0
Trừ: Tiền ký quỹ,Trừ: Tiền ký quỹ,Trừ: Tiền ký quỹ,(441.074),(387.671),-441074.0,-387671.0
Nghĩa vụ nợ tiềm ăn và các cam kết đưa ra,Nghĩa vụ nợ tiềm ăn và các cam kết đưa ra,Nghĩa vụ nợ tiềm ăn và các cam kết đưa ra,354.964.003,161.551.210,354964003.0,161551210.0
