row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu đồng,Phần mềmmáy vi tínhTriệu đồng,Tài sản khácTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đấtTriệu đồng,numeric__Phần mềmmáy vi tínhTriệu đồng,numeric__Tài sản khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,230.480,393.585,878,624.943,230480.0,393585.0,878.0,624943.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,16.784,-,16.784,,16784.0,,16784.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.020),-,-,(2.020),-2020.0,,,-2020.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,228.460,410.369,878,639.707,228460.0,410369.0,878.0,639707.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,3.589,243.747,878,248.214,3589.0,243747.0,878.0,248214.0
Hảo mòn trong năm,Giá trị hao mòn lũy kế > Hảo mòn trong năm,Hảo mòn trong năm,480,28.657,-,29.137,480.0,28657.0,,29137.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,4.069,272.404,878,277.351,4069.0,272404.0,878.0,277351.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,226.891,149.838,-,376.729,226891.0,149838.0,,376729.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,224.391,137.965,-,362.356,224391.0,137965.0,,362356.0
