row_label_raw,row_label_full,Bên liên quan,Các giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,numeric__Các giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1
Bên liên quan,Bên liên quan,Bên liên quan,Các giao dịch,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,,,
Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,,,
CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > CTCP Xuất nhập khẩu Tổng hợp Hà Nội,CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Tiền gửi,(327),(269),,-327.0,-269.0
CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > CTCP Xuất nhập khẩu Tổng hợp Hà Nội,CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Phải thu tiền bán cổ phiếu ABS,35.855,35.855,,35855.0,35855.0
CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > CTCP Xuất nhập khẩu Tổng hợp Hà Nội,CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Đặt cọc thuê văn phòng,7.437,21.151,,7437.0,21151.0
CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > CTCP Xuất nhập khẩu Tổng hợp Hà Nội,CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Vốn góp tại Ngân hàng,(890.669),(742.224),,-890669.0,-742224.0
CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > CTCP Xuất nhập khẩu Tổng hợp Hà Nội,CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Góp vốn đầu tư,38.000,80.000,,38000.0,80000.0
CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > CTCP Xuất nhập khẩu Tổng hợp Hà Nội,CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Lãi phải thu từ góp vốn đầu tư,1.015,2.372,,1015.0,2372.0
Malayan Banking Berhad - Maylaysia,Cổ đông lớn và các bên liên quan với cổ đông lớn > Malayan Banking Berhad - Maylaysia,Malayan Banking Berhad - Maylaysia,Tiền gửi,(6.614),(4.830),,-6614.0,-4830.0
Malayan Banking Berhad - Maylaysia,Cổ đông lớn và các bên liên quan với cổ đông lớn > Malayan Banking Berhad - Maylaysia,Malayan Banking Berhad - Maylaysia,Vốn góp tại Ngân hàng,(1.142.650),(1.142.650),,-1142650.0,-1142650.0
Malayan Banking Berhad - Maylaysia,Cổ đông lớn và các bên liên quan với cổ đông lớn > Malayan Banking Berhad - Maylaysia,Malayan Banking Berhad - Maylaysia,Gửi tiền tại Malayan Banking Berhad,2.202,2.199,,2202.0,2199.0
Công ty Tài chính Quốc tế,Cổ đông lớn và các bên liên quan với cổ đông lớn > Công ty Tài chính Quốc tế,Công ty Tài chính Quốc tế,Đi vay,(835.666),(1.693.464),,-835666.0,-1693464.0
Công ty Tài chính Quốc tế,Cổ đông lớn và các bên liên quan với cổ đông lớn > Công ty Tài chính Quốc tế,Công ty Tài chính Quốc tế,Lãi dự chi tiền vay,(3.522),(7.037),,-3522.0,-7037.0
Công ty Tài chính Quốc tế,Cổ đông lớn và các bên liên quan với cổ đông lớn > Công ty Tài chính Quốc tế,Công ty Tài chính Quốc tế,Vốn góp tại Ngân hàng,(571.555),(571.555),,-571555.0,-571555.0
Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Tiền gửi,(186.825),(1.871.809),,-186825.0,-1871809.0
