row_label_raw,row_label_full,col_0,Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,991.083,928.879,991083.0,928879.0
Chi lương và phụ cấp,Chi lương và phụ cấp,Chi lương và phụ cấp,875.468,806.300,875468.0,806300.0
Các khoản chi đóng góp theo lương,Các khoản chi đóng góp theo lương,Các khoản chi đóng góp theo lương,69.208,72.204,69208.0,72204.0
Chi ăn ca,Chi ăn ca,Chi ăn ca,34.421,35.249,34421.0,35249.0
Chi trợ cấp,Chi trợ cấp,Chi trợ cấp,11.986,15.126,11986.0,15126.0
Chi phí về tài sản,Chi phí về tài sản,Chi phí về tài sản,494.552,472.511,494552.0,472511.0
Chi phí thuê văn phòng,Chi phí thuê văn phòng,Chi phí thuê văn phòng,257.699,239.667,257699.0,239667.0
Bảo dưỡng và sửa chữa tài sản,Bảo dưỡng và sửa chữa tài sản,Bảo dưỡng và sửa chữa tài sản,115.194,107.536,115194.0,107536.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,89.243,92.088,89243.0,92088.0
Mua sắm công cụ lao động,Mua sắm công cụ lao động,Mua sắm công cụ lao động,27.702,29.392,27702.0,29392.0
Chi mua bảo hiểm tài sản,Chi mua bảo hiểm tài sản,Chi mua bảo hiểm tài sản,4.714,3.828,4714.0,3828.0
Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,344.228,456.933,344228.0,456933.0
"Chi hội nghị, lễ tân, khách tiết","Chi hội nghị, lễ tân, khách tiết","Chi hội nghị, lễ tân, khách tiết",119.031,177.831,119031.0,177831.0
Chi nộp phí bảo hiểm tiền gửi của khách hàng,Chi nộp phí bảo hiểm tiền gửi của khách hàng,Chi nộp phí bảo hiểm tiền gửi của khách hàng,50.527,53.356,50527.0,53356.0
"Chi xuất bản tài liệu, quảng cáo","Chi xuất bản tài liệu, quảng cáo","Chi xuất bản tài liệu, quảng cáo",47.456,42.878,47456.0,42878.0
"Chi điện nước, vệ sinh cơ quan","Chi điện nước, vệ sinh cơ quan","Chi điện nước, vệ sinh cơ quan",42.900,40.137,42900.0,40137.0
"Chi vật liệu, giấy tờ in","Chi vật liệu, giấy tờ in","Chi vật liệu, giấy tờ in",19.941,24.339,19941.0,24339.0
Chi bưu phí và điện thoại,Chi bưu phí và điện thoại,Chi bưu phí và điện thoại,8.166,9.655,8166.0,9655.0
Công tác phí,Công tác phí,Công tác phí,7.099,12.197,7099.0,12197.0
"Chi phí thanh tra, kiểm tra hoạt độngtổ chức tín dụng","Chi phí thanh tra, kiểm tra hoạt độngtổ chức tín dụng","Chi phí thanh tra, kiểm tra hoạt độngtổ chức tín dụng",1.775,895,1775.0,895.0
"Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí",1.529,1.780,1529.0,1780.0
"Chi đào tạo, huấn luyện","Chi đào tạo, huấn luyện","Chi đào tạo, huấn luyện",680,10.464,680.0,10464.0
Chi phí dự phòng rủi ro cho các tài sản cónội bằng khác,Chi phí dự phòng rủi ro cho các tài sản cónội bằng khác,Chi phí dự phòng rủi ro cho các tài sản cónội bằng khác,18.216,29.227,18216.0,29227.0
Chi phí dự phòng giảm giá đầu tư dài hạn,Chi phí dự phòng giảm giá đầu tư dài hạn,Chi phí dự phòng giảm giá đầu tư dài hạn,(16.654),16.654,-16654.0,16654.0
Các khoản chi phí khác,Các khoản chi phí khác,Các khoản chi phí khác,43.562,37.520,43562.0,37520.0
,,,1.829.863,1.858.323,1829863.0,1858323.0
