row_label_raw,row_label_full,Bên liên quan,Các giao dịch,Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Các giao dịch,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,,,
CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > CTCP Xuất nhập khẩu Tổng hợp Hà Nội,CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Nhận tiền gửi không kỳ hạn,725.979,3.337.701,,725979.0,3337701.0
CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > CTCP Xuất nhập khẩu Tổng hợp Hà Nội,CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Rút tiền gửi không kỳ hạn,(725.979),(3.335.931),,-725979.0,-3335931.0
CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > CTCP Xuất nhập khẩu Tổng hợp Hà Nội,CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Nhận tiền gửi có kỳ hạn,-,98,,,98.0
CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > CTCP Xuất nhập khẩu Tổng hợp Hà Nội,CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Rút tiền gửi có kỳ hạn,-,(7.879),,,-7879.0
CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > CTCP Xuất nhập khẩu Tổng hợp Hà Nội,CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Trả lãi tiền gửi,-,(678),,,-678.0
CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > CTCP Xuất nhập khẩu Tổng hợp Hà Nội,CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Thu nhập từ góp vốn đầu tư,4.282,7.581,,4282.0,7581.0
CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > CTCP Xuất nhập khẩu Tổng hợp Hà Nội,CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Góp vốn đầu tư,8.000,11.000,,8000.0,11000.0
CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > CTCP Xuất nhập khẩu Tổng hợp Hà Nội,CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Thu hồi vớp góp đầu tư,50.000,-,,50000.0,
Malayan Banking Berhad - Maylaysia,Cổ đông lớn và các bên liên quan với cổ đông lớn > Malayan Banking Berhad - Maylaysia,Malayan Banking Berhad - Maylaysia,Nhận tiền gửi không kỳ hạn,35.501,98.722,,35501.0,98722.0
Malayan Banking Berhad - Maylaysia,Cổ đông lớn và các bên liên quan với cổ đông lớn > Malayan Banking Berhad - Maylaysia,Malayan Banking Berhad - Maylaysia,Rút tiền gửi không kỳ hạn,(33.754),(94.986),,-33754.0,-94986.0
Malayan Banking Berhad - Maylaysia,Cổ đông lớn và các bên liên quan với cổ đông lớn > Malayan Banking Berhad - Maylaysia,Malayan Banking Berhad - Maylaysia,ABB gửi tiền không kỳ hạn,1,(3.622),,1.0,-3622.0
Malayan Banking Berhad - Maylaysia,Cổ đông lớn và các bên liên quan với cổ đông lớn > Malayan Banking Berhad - Maylaysia,Malayan Banking Berhad - Maylaysia,ABB rút tiền không kỳ hạn,-,3.142,,,3142.0
Malayan Banking Berhad - Maylaysia,Cổ đông lớn và các bên liên quan với cổ đông lớn > Malayan Banking Berhad - Maylaysia,Malayan Banking Berhad - Maylaysia,Thu lãi tiền gửi,1,17,,1.0,17.0
Malayan Banking Berhad - Maylaysia,Cổ đông lớn và các bên liên quan với cổ đông lớn > Malayan Banking Berhad - Maylaysia,Malayan Banking Berhad - Maylaysia,Trả lãi tiền gửi,(1),(654),,-1.0,-654.0
Malayan Banking Berhad - Maylaysia,Cổ đông lớn và các bên liên quan với cổ đông lớn > Malayan Banking Berhad - Maylaysia,Malayan Banking Berhad - Maylaysia,Thu từ các công cụ tài chính phải sinh tiền tệ,4.180,5.753,,4180.0,5753.0
Malayan Banking Berhad - Maylaysia,Cổ đông lớn và các bên liên quan với cổ đông lớn > Malayan Banking Berhad - Maylaysia,Malayan Banking Berhad - Maylaysia,Chi từ các công cụ tài chính phải sinh tiền tệ,(284),(419),,-284.0,-419.0
Công ty Tài chính Quốc tế,Cổ đông lớn và các bên liên quan với cổ đông lớn > Công ty Tài chính Quốc tế,Công ty Tài chính Quốc tế,Số tiền vay,-,3.820.964,,,3820964.0
Công ty Tài chính Quốc tế,Cổ đông lớn và các bên liên quan với cổ đông lớn > Công ty Tài chính Quốc tế,Công ty Tài chính Quốc tế,Số tiền trả nợ,(842.769),(4.716.165),,-842769.0,-4716165.0
Công ty Tài chính Quốc tế,Cổ đông lớn và các bên liên quan với cổ đông lớn > Công ty Tài chính Quốc tế,Công ty Tài chính Quốc tế,Trả lãi tiền vay,(8.516),(85.502),,-8516.0,-85502.0
Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Nhận tiền gửi không kỳ hạn,28.736.023,34.814.292,,28736023.0,34814292.0
Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Rút tiền gửi không kỳ hạn,(29.519.274),(33.831.264),,-29519274.0,-33831264.0
Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Nhận tiền gửi có kỳ hạn,3.173.132,1.754.334,,3173132.0,1754334.0
Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Rút tiền gửi có kỳ hạn,(3.207.853),(927.402),,-3207853.0,-927402.0
Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Trả lãi tiền gửi,(1.557),(28.488),,-1557.0,-28488.0
Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Các công ty liên quan của CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Thu nhập từ góp vốn đầu tư,20.278,21.748,,20278.0,21748.0
