row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Tập đoàn > 31/12/2017Nghìn VND,Tập đoàn > 1/1/2017Nghìn VND,Công ty > 31/12/2017Nghìn VND,Công ty > 1/1/2017Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__Tập đoàn > 31/12/2017Nghìn VND,numeric__Tập đoàn > 1/1/2017Nghìn VND,numeric__Công ty > 31/12/2017Nghìn VND,numeric__Công ty > 1/1/2017Nghìn VND
Tài sản dài hạn (200 = 210 + 220 + 240 + 250 + 260),Tài sản dài hạn (200 = 210 + 220 + 240 + 250 + 260),Tài sản dài hạn (200 = 210 + 220 + 240 + 250 + 260),200,,23.688.207.422,24.039.367.458,9.995.844.635,10.024.094.084,200.0,,23688207422.0,24039367458.0,9995844635.0,10024094084.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,1.346.793.937,1.379.457.775,4.855.509.062,4.883.758.511,210.0,,1346793937.0,1379457775.0,4855509062.0,4883758511.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,215,8,-,-,3.945.518.100,3.945.518.100,215.0,8.0,,,3945518100.0,3945518100.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,6,1.346.793.937,1.379.457.775,909.990.962,938.240.411,216.0,6.0,1346793937.0,1379457775.0,909990962.0,938240411.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,18.898.064.279,18.629.319.036,-,-,220.0,,18898064279.0,18629319036.0,,
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,9,18.351.724.804,18.037.642.308,-,-,221.0,9.0,18351724804.0,18037642308.0,,
Nguyên giá,Nguyên giá,Nguyên giá,222,,21.810.465.885,20.374.332.304,-,-,222.0,,21810465885.0,20374332304.0,,
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(3.458.741.081),(2.336.689.996),-,-,223.0,,-3458741081.0,-2336689996.0,,
Tài sản cố định hữu hình thuê tài chính,Tài sản cố định hữu hình thuê tài chính,Tài sản cố định hữu hình thuê tài chính,224,10,4.486.667,17.946.667,-,-,224.0,10.0,4486667.0,17946667.0,,
Nguyên giá,Nguyên giá,Nguyên giá,225,,67.300.000,67.300.000,-,-,225.0,,67300000.0,67300000.0,,
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,226,,(62.813.333),(49.353.333),-,-,226.0,,-62813333.0,-49353333.0,,
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,11,541.852.808,573.730.061,-,-,227.0,11.0,541852808.0,573730061.0,,
Nguyên giá,Nguyên giá,Nguyên giá,228,,688.278.032,677.940.788,137.950,137.950,228.0,,688278032.0,677940788.0,137950.0,137950.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(146.425.224),(104.210.727),(137.950),(137.950),229.0,,-146425224.0,-104210727.0,-137950.0,-137950.0
Tài sản dỡ dang dài hạn,Tài sản dỡ dang dài hạn,Tài sản dỡ dang dài hạn,240,,987.802.403,1.681.618.571,-,-,240.0,,987802403.0,1681618571.0,,
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,12,987.802.403,1.681.618.571,-,-,242.0,12.0,987802403.0,1681618571.0,,
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,,-,-,5.140.335.573,5.140.335.573,250.0,,,,5140335573.0,5140335573.0
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,251,13,-,-,5.140.335.573,5.140.335.573,251.0,13.0,,,5140335573.0,5140335573.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,2.455.546.803,2.348.972.076,-,-,260.0,,2455546803.0,2348972076.0,,
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,14,2.440.860.012,2.348.972.076,-,-,261.0,14.0,2440860012.0,2348972076.0,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,19(i),14.686.791,-,-,-,262.0,,14686791.0,,,
TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),270,,27.144.210.862,26.535.498.449,9.998.626.674,10.025.046.015,270.0,,27144210862.0,26535498449.0,9998626674.0,10025046015.0
