row_label_raw,row_label_full,Ông Chetan Prakash Baxi,Chủ tịch,numeric__Chủ tịch
Tiến sỹ Nguyễn Đăng Quang,Tiến sỹ Nguyễn Đăng Quang,Tiến sỹ Nguyễn Đăng Quang,Thành viên,
Ông Nguyễn Thiêu Nam,Ông Nguyễn Thiêu Nam,Ông Nguyễn Thiêu Nam,Thành viên,
Ông Jonathan David Fiorello,Ông Jonathan David Fiorello,Ông Jonathan David Fiorello,Thành viên (đến ngày 17/4/2017),
Ông Dominic John Heaton,Ông Dominic John Heaton,Ông Dominic John Heaton,Thành viên,
Ông Nguyễn Văn Thắng,Ông Nguyễn Văn Thắng,Ông Nguyễn Văn Thắng,Thành viên,
