row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Tập đoàn > 2017Nghìn VND,Tập đoàn > 2016Nghìn VND,Công ty > 2017Nghìn VND,Công ty > 2016Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__Tập đoàn > 2017Nghìn VND,numeric__Tập đoàn > 2016Nghìn VND,numeric__Công ty > 2017Nghìn VND,numeric__Công ty > 2016Nghìn VND
Doanh thu bán hàng,Doanh thu bán hàng,Doanh thu bán hàng,01,24,5.404.645.101,4.048.817.336,-,-,1.0,24.0,5404645101.0,4048817336.0,,
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,,3.713.762.618,2.945.556.012,-,-,11.0,,3713762618.0,2945556012.0,,
Lợi nhuận gộp(20 = 01 - 11),Lợi nhuận gộp(20 = 01 - 11),Lợi nhuận gộp(20 = 01 - 11),20,,1.690.882.483,1.103.261.324,-,-,20.0,,1690882483.0,1103261324.0,,
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,25,41.999.592,221.046.558,14.265,85.002.516,21.0,25.0,41999592.0,221046558.0,14265.0,85002516.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,26,1.137.924.018,966.860.622,-,-,22.0,26.0,1137924018.0,966860622.0,,
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,,135.288.194,132.925.055,-,-,25.0,,135288194.0,132925055.0,,
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,,124.952.093,93.030.372,3.000,2.707.029,26.0,,124952093.0,93030372.0,3000.0,2707029.0
Lợi nhuận thuần từ hoạt động kinh doanh(30 = 20 + 21 - 22 - 25 - 26),Lợi nhuận thuần từ hoạt động kinh doanh(30 = 20 + 21 - 22 - 25 - 26),Lợi nhuận thuần từ hoạt động kinh doanh(30 = 20 + 21 - 22 - 25 - 26),30,,334.717.770,131.491.833,11.265,82.295.487,30.0,,334717770.0,131491833.0,11265.0,82295487.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,,2.254.261,2.378.754,-,-,31.0,,2254261.0,2378754.0,,
Chi phí khác,Chi phí khác,Chi phí khác,32,,44.849.579,33.305.833,-,2.942,32.0,,44849579.0,33305833.0,,2942.0
Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),40,,(42.595.318),(30.927.079),-,(2.942),40.0,,-42595318.0,-30927079.0,,-2942.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40)(chuyển sang trang sau),Lợi nhuận kế toán trước thuế (50 = 30 + 40)(chuyển sang trang sau),Lợi nhuận kế toán trước thuế (50 = 30 + 40)(chuyển sang trang sau),50,,292.122.452,100.564.754,11.265,82.292.545,50.0,,292122452.0,100564754.0,11265.0,82292545.0
