row_label_raw,row_label_full,Từ ngày 1 tháng 1 năm 2017 đến ngày 31 tháng 12 năm 2017,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộ phận khácNghìn VND,Tổng cộngNghìn VND,numeric__ĐồngNghìn VND,numeric__FluoritNghìn VND,numeric__VonframNghìn VND,numeric__Các bộ phận khácNghìn VND,numeric__Tổng cộngNghìn VND
Doanh thu bộ phận,Doanh thu bộ phận,Doanh thu bộ phận,734.678.468,1.086.632.503,3.220.111.419,363.222.711,5.404.645.101,734678468.0,1086632503.0,3220111419.0,363222711.0,5404645101.0
Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,452.041.373,658.824.479,468.982.641,111.033.990,1.690.882.483,452041373.0,658824479.0,468982641.0,111033990.0,1690882483.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,260.240.287,,,,,260240287.0
Thu nhập từ hoạt động tài chính,Thu nhập từ hoạt động tài chính,Thu nhập từ hoạt động tài chính,,,,,41.999.592,,,,,41999592.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,1.137.924.018,,,,,1137924018.0
Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,,,,,334.717.770,,,,,334717770.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,2.254.261,,,,,2254261.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,44.849.579,,,,,44849579.0
Lợi ích thuế thu nhập doanh nghiệp,Lợi ích thuế thu nhập doanh nghiệp,Lợi ích thuế thu nhập doanh nghiệp,,,,,(9.003.312),,,,,-9003312.0
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,301.125.764,,,,,301125764.0
