row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2017 triệu VND,31/12/2016 (trình bày lại) triệu VND,numeric__Thuyết minh,numeric__31/12/2017 triệu VND,numeric__31/12/2016 (trình bày lại) triệu VND
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,11,198.290.566,162.376.185,11.0,198290566.0,162376185.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,12,(2.849.015),(1.797.385),12.0,-2849015.0,-1797385.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,13,21.207.964,18.846.623,13.0,21207964.0,18846623.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,,12.268.348,10.788.497,,12268348.0,10788497.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,TÀI SẢN > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,,10.682.862,9.439.853,,10682862.0,9439853.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,,(1.743.246),(1.381.727),,-1743246.0,-1381727.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",14,215.465,222.949,14.0,215465.0,222949.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,,227.250,229.393,,227250.0,229393.0
Dự phòng giảm giá đầu tư dài hạn,TÀI SẢN > Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,(11.785),(6.444),,-11785.0,-6444.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,15,3.952.317,3.962.052,15.0,3952317.0,3962052.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,15.1,425.424,424.046,151.0,425424.0,424046.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,1.011.431,962.704,,1011431.0,962704.0
Khẩu hao tài sản cố định,TÀI SẢN > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,,(586.007),(538.658),,-586007.0,-538658.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,15.2,3.526.893,3.538.006,152.0,3526893.0,3538006.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,3.738.489,3.726.916,,3738489.0,3726916.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(211.596),(188.910),,-211596.0,-188910.0
Bất động sản đầu tư,TÀI SẢN > Bất động sản đầu tư,Bất động sản đầu tư,16,-,16.815,16.0,,16815.0
Nguyên giá bất động sản đầu tư,TÀI SẢN > Nguyên giá bất động sản đầu tư,Nguyên giá bất động sản đầu tư,,-,17.401,,,17401.0
Hao mòn bất động sản đầu tư,TÀI SẢN > Hao mòn bất động sản đầu tư,Hao mòn bất động sản đầu tư,,-,(586),,,-586.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,17,26.352.746,22.893.100,17.0,26352746.0,22893100.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,,13.411.455,8.510.417,,13411455.0,8510417.0
"Các khoản lãi, phí phải thu","TÀI SẢN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",,7.955.903,7.875.554,,7955903.0,7875554.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,,5.395.762,6.719.575,,5395762.0,6719575.0
Dự phòng rủi ro cho các tài sản Có nội bằng khác,TÀI SẢN > Dự phòng rủi ro cho các tài sản Có nội bằng khác,Dự phòng rủi ro cho các tài sản Có nội bằng khác,,(410.374),(212.446),,-410374.0,-212446.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,,286.010.081,240.752.689,,286010081.0,240752689.0
