row_label_raw,row_label_full,col_0,2017 triệu VND,2016 (trình bày lại) triệu VND,numeric__2017 triệu VND,numeric__2016 (trình bày lại) triệu VND
Thu từ xử lý tài sản viết nợ,Thu từ xử lý tài sản viết nợ,Thu từ xử lý tài sản viết nợ,135.956,-,135956.0,
Thu hồi nợ đã xử lý rủi ro trong những năm trước,Thu hồi nợ đã xử lý rủi ro trong những năm trước,Thu hồi nợ đã xử lý rủi ro trong những năm trước,16.912,52.998,16912.0,52998.0
"Thu từ thanh lý, nhượng bán tài sản cố định","Thu từ thanh lý, nhượng bán tài sản cố định","Thu từ thanh lý, nhượng bán tài sản cố định",203.443,538.765,203443.0,538765.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,3.667,144.660,3667.0,144660.0
Thu nhập hoạt động kinh doanh khác,Thu nhập hoạt động kinh doanh khác,Thu nhập hoạt động kinh doanh khác,359.978,736.423,359978.0,736423.0
Chi xử lý tài sản viết nợ,Chi xử lý tài sản viết nợ,Chi xử lý tài sản viết nợ,149.304,-,149304.0,
Chi công tác xã hội,Chi công tác xã hội,Chi công tác xã hội,7.387,29.885,7387.0,29885.0
"Chi phí thanh lý, nhượng bán tài sản cố định","Chi phí thanh lý, nhượng bán tài sản cố định","Chi phí thanh lý, nhượng bán tài sản cố định",16.229,160.710,16229.0,160710.0
Lỗ bán khoản đầu tư,Lỗ bán khoản đầu tư,Lỗ bán khoản đầu tư,24.051,-,24051.0,
Chi về hoạt động kinh doanh khác,Chi về hoạt động kinh doanh khác,Chi về hoạt động kinh doanh khác,25.515,197.632,25515.0,197632.0
Chi phí về hoạt động kinh doanh khác,Chi phí về hoạt động kinh doanh khác,Chi phí về hoạt động kinh doanh khác,222.486,388.227,222486.0,388227.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,137.492,348.196,137492.0,348196.0
