row_label_raw,row_label_full,col_0,Dự phòng cụ thể triệu VND,Dự phòng chung triệu VND,Tổng cộng triệu VND,numeric__Dự phòng cụ thể triệu VND,numeric__Dự phòng chung triệu VND,numeric__Tổng cộng triệu VND
Số dư đầu kỳ,Số dư đầu kỳ,Số dư đầu kỳ,473.031,948.355,1.421.386,473031.0,948355.0,1421386.0
Dự phòng rủi ro trích lập trong năm,Dự phòng rủi ro trích lập trong năm,Dự phòng rủi ro trích lập trong năm,409.322,117.037,526.359,409322.0,117037.0,526359.0
Tăng do sáp nhập VVF,Tăng do sáp nhập VVF,Tăng do sáp nhập VVF,15.403,940,16.343,15403.0,940.0,16343.0
Số dự phòng đã sử dụng để xử lý rủi ro trong năm,Số dự phòng đã sử dụng để xử lý rủi ro trong năm,Số dự phòng đã sử dụng để xử lý rủi ro trong năm,(167.263),-,(167.263),-167263.0,,-167263.0
Chêch lệch tỷ giá,Chêch lệch tỷ giá,Chêch lệch tỷ giá,560,-,560,560.0,,560.0
Số dư cuối kỳ,Số dư cuối kỳ,Số dư cuối kỳ,731.053,1.066.332,1.797.385,731053.0,1066332.0,1797385.0
