row_label_raw,row_label_full,EUR được quy đổi,USD được quy đổi,Các ngoại tệ khác được quy đổi,Đơn vị: triệu VND Tổng,numeric__USD được quy đổi,numeric__Các ngoại tệ khác được quy đổi,numeric__Đơn vị: triệu VND Tổng
34.847,34.847,34.847,507.125,18.095,560.067,507125.0,18095.0,560067.0
-,-,-,1.394.747,-,1.394.747,1394747.0,,1394747.0
106.368,106.368,106.368,4.059.295,773.852,4.939.515,4059295.0,773852.0,4939515.0
-,-,-,-,-,-,,,
95.407,- > 95.407,95.407,710.063,-,805.470,710063.0,,805470.0
18.850,- > 18.850,18.850,14.318.366,693.129,15.030.345,14318366.0,693129.0,15030345.0
-,-,-,-,-,-,,,
-,-,-,-,-,-,,,
-,- > -,-,16.877,4.318,21.195,16877.0,4318.0,21195.0
40,- > 40,40,9.530.765,53.964,9.584.769,9530765.0,53964.0,9584769.0
255.512,- > 255.512,255.512,30.537.238,1.543.358,32.336.108,30537238.0,1543358.0,32336108.0
-,- > -,-,12.011.323,-,12.011.323,12011323.0,,12011323.0
251.617,- > 251.617,251.617,13.374.249,86.514,13.712.380,13374249.0,86514.0,13712380.0
-,- > -,-,4.897.685,190.398,5.088.083,4897685.0,190398.0,5088083.0
2.166,- > 2.166,2.166,-,-,2.166,,,2166.0
-,-,-,-,-,-,,,
351,- > 351,351,72.740,18.734,91.825,72740.0,18734.0,91825.0
-,- > -,-,115.605,41.629,157.234,115605.0,41629.0,157234.0
254.134,- > 254.134,254.134,30.471.602,337.275,31.063.011,30471602.0,337275.0,31063011.0
1.378,- > 1.378,1.378,65.636,1.206.083,1.273.097,65636.0,1206083.0,1273097.0
-,-,-,-,-,-,,,
1.378,- > 1.378,1.378,65.636,1.206.083,1.273.097,65636.0,1206083.0,1273097.0
