row_label_raw,row_label_full,col_0,31/12/2017 triệu VND,31/12/2016 triệu VND,numeric__31/12/2017 triệu VND,numeric__31/12/2016 triệu VND
Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,27.859.510,23.230.559,27859510.0,23230559.0
Tiền gửi thanh toan,Tiền gửi thanh toan,Tiền gửi thanh toan,20.812.077,12.320.394,20812077.0,12320394.0
Bằng VND,Bằng VND,Bằng VND,19.799.397,11.706.516,19799397.0,11706516.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,1.012.680,613.878,1012680.0,613878.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,7.047.433,10.910.165,7047433.0,10910165.0
Bằng VND,Bằng VND,Bằng VND,3.130.000,8.165.137,3130000.0,8165137.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,3.917.433,2.745.028,3917433.0,2745028.0
Cho vay các TCTD khác,Cho vay các TCTD khác,Cho vay các TCTD khác,5.654.006,6.911.000,5654006.0,6911000.0
Bằng VND,Bằng VND,Bằng VND,5.654.006,6.911.000,5654006.0,6911000.0
Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,-,(5.137),,-5137.0
,,,33.513.516,30.136.422,33513516.0,30136422.0
