row_label_raw,row_label_full,Các giao dịch,Phải thu triệu VND,Phải trả triệu VND,numeric__Phải thu triệu VND,numeric__Phải trả triệu VND
"Lãi phải thu từ cho vay, UTĐT, đầu tư trái phiếu","Lãi phải thu từ cho vay, UTĐT, đầu tư trái phiếu","Lãi phải thu từ cho vay, UTĐT, đầu tư trái phiếu",231.773,-,231773.0,
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,-,72.387,,72387.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,-,1.435.002,,1435002.0
Vốn góp của các bên liên quan,Vốn góp của các bên liên quan,Vốn góp của các bên liên quan,-,1.191.991,,1191991.0
