row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc triệu VND",Quyền sử dụng đất triệu VND,Tổng cộng triệu VND,"numeric__Nhà cửa, vật kiến trúc triệu VND",numeric__Quyền sử dụng đất triệu VND,numeric__Tổng cộng triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,3.822,13.579,17.401,3822.0,13579.0,17401.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.822),(13.579),(17.401),-3822.0,-13579.0,-17401.0
Số cuối năm,Số cuối năm,Số cuối năm,-,-,-,,,
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,586,-,586,586.0,,586.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,586,-,586,586.0,,586.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.172),-,(1.172),-1172.0,,-1172.0
Số cuối năm,Số cuối năm,Số cuối năm,-,-,-,,,
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,3.236,13.579,16.815,3236.0,13579.0,16815.0
Số cuối năm,Số cuối năm,Số cuối năm,-,-,-,,,
