row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcriệu VND",Máy mócthiết bịtriệu VND,Phương tiệnvận tàitriệu VND,Thiết bịvăn phòngtriệu VND,TSCĐhửu hìnhkháctriệuVND,Tổng cộngtriệu VND,"numeric__Nhà cửa,vật kiến trúcriệu VND",numeric__Máy mócthiết bịtriệu VND,numeric__Phương tiệnvận tàitriệu VND,numeric__Thiết bịvăn phòngtriệu VND,numeric__TSCĐhửu hìnhkháctriệuVND,numeric__Tổng cộngtriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,325.290,314.867,202.081,93.743,26.723,962.704,325290.0,314867.0,202081.0,93743.0,26723.0,962704.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,20.356,9.950,4.961,3.088,38.355,,20356.0,9950.0,4961.0,3088.0,38355.0
Tăng do hoanthành mua sắmTSCĐ,Nguyên giá > Tăng do hoanthành mua sắmTSCĐ,Tăng do hoanthành mua sắmTSCĐ,52.749,-,-,-,-,52.749,52749.0,,,,,52749.0
"Thanh lý, nhượngbán","Nguyên giá > Thanh lý, nhượngbán","Thanh lý, nhượngbán",(15.356),(863),(3.107),(3.528),(2.836),(25.690),-15356.0,-863.0,-3107.0,-3528.0,-2836.0,-25690.0
Thoái vốn SHBS,Nguyên giá > Thoái vốn SHBS,Thoái vốn SHBS,-,(14.099),(518),-,(90),(14.707),,-14099.0,-518.0,,-90.0,-14707.0
Thay đổi khác,Nguyên giá > Thay đổi khác,Thay đổi khác,448,35,8,(2.471),-,(1.980),448.0,35.0,8.0,-2471.0,,-1980.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,363.131,320.296,208.414,92.705,26.885,1.011.431,363131.0,320296.0,208414.0,92705.0,26885.0,1011431.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số đầu năm,Giá trị hao mòn luỹ kế > Số đầu năm,Số đầu năm,83.639,227.524,121.024,82.601,23.870,538.658,83639.0,227524.0,121024.0,82601.0,23870.0,538658.0
Khấu hao trongnăm,Giá trị hao mòn luỹ kế > Khấu hao trongnăm,Khấu hao trongnăm,18.151,37.784,19.140,5.131,3.012,83.218,18151.0,37784.0,19140.0,5131.0,3012.0,83218.0
"Thanh lý, nhượngbán","Giá trị hao mòn luỹ kế > Thanh lý, nhượngbán","Thanh lý, nhượngbán",(11.640),(789),(3.072),(3.171),(2.768),(21.440),-11640.0,-789.0,-3072.0,-3171.0,-2768.0,-21440.0
Thoái vốn SHBS,Giá trị hao mòn luỹ kế > Thoái vốn SHBS,Thoái vốn SHBS,-,(14.099),(518),-,(90),(14.707),,-14099.0,-518.0,,-90.0,-14707.0
Thay đổi khác,Giá trị hao mòn luỹ kế > Thay đổi khác,Thay đổi khác,197,21,10,50,-,278,197.0,21.0,10.0,50.0,,278.0
Số cuối năm,Giá trị hao mòn luỹ kế > Số cuối năm,Số cuối năm,90.347,250.441,136.584,84.611,24.024,586.007,90347.0,250441.0,136584.0,84611.0,24024.0,586007.0
Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,,,,,,
Số đầu năm,Giá trị còn lại của TSCĐ > Số đầu năm,Số đầu năm,241.651,87.343,81.057,11.142,2.853,424.046,241651.0,87343.0,81057.0,11142.0,2853.0,424046.0
Số cuối năm,Giá trị còn lại của TSCĐ > Số cuối năm,Số cuối năm,272.784,69.855,71.830,8.094,2.861,425.424,272784.0,69855.0,71830.0,8094.0,2861.0,425424.0
