row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ khác,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ khác,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Số dư đầu kỳ,Số dư đầu kỳ,Số dư đầu kỳ,11.196.891,101.716,(5.260),25.013,682.932,329.292,1.022,897.661,2.306,13.231.573,11196891.0,101716.0,-5260.0,25013.0,682932.0,329292.0,1022.0,897661.0,2306.0,13231573.0
Thay đổi trong kỳ,Thay đổi trong kỳ,Thay đổi trong kỳ,Thay đổi trong kỳ,Thay đổi trong kỳ,Thay đổi trong kỳ,Thay đổi trong kỳ,Thay đổi trong kỳ,Thay đổi trong kỳ,Thay đổi trong kỳ,Thay đổi trong kỳ,Thay đổi trong kỳ,Thay đổi trong kỳ,,,,,,,,,,
Lợi nhuận thuần trong năm,Thay đổi trong kỳ > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,1.539.128,-,1.539.128,,,,,,,,1539128.0,,1539128.0
Trích quỹ dự trữ bổ sung vốn điều lệ theo Nghi Quyết năm 2017,Thay đổi trong kỳ > Trích quỹ dự trữ bổ sung vốn điều lệ theo Nghi Quyết năm 2017,Trích quỹ dự trữ bổ sung vốn điều lệ theo Nghi Quyết năm 2017,-,-,-,-,-,1.620,-,(1.620),-,-,,,,,,1620.0,,-1620.0,,
Quỹ khác thuộc về cổ đông không kiểm soát Trích quỹ khen thưởng phúc lợi theo Nghị Quyết năm 2017,Thay đổi trong kỳ > Quỹ khác thuộc về cổ đông không kiểm soát Trích quỹ khen thưởng phúc lợi theo Nghị Quyết năm 2017,Quỹ khác thuộc về cổ đông không kiểm soát Trích quỹ khen thưởng phúc lợi theo Nghị Quyết năm 2017,-,-,-,-,230,-,-,-,(230),-,,,,,230.0,,,,-230.0,
Thuế giữ lại từ chuyển lợi nhuận của công ty con,Thay đổi trong kỳ > Thuế giữ lại từ chuyển lợi nhuận của công ty con,Thuế giữ lại từ chuyển lợi nhuận của công ty con,-,-,-,-,-,-,-,(20.000),-,(20.000),,,,,,,,-20000.0,,-20000.0
Điều chỉnh khác,Thay đổi trong kỳ > Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,-,-,-,(5.566),-,(5.566),,,,,,,,-5566.0,,-5566.0
Điều chỉnh thuế phải nộp của SHBAMC,Thay đổi trong kỳ > Điều chỉnh thuế phải nộp của SHBAMC,Điều chỉnh thuế phải nộp của SHBAMC,-,-,-,-,-,-,-,(3.238),-,(3.238),,,,,,,,-3238.0,,-3238.0
Tạm trích quỹ năm 2018,Thay đổi trong kỳ > Tạm trích quỹ năm 2018,Tạm trích quỹ năm 2018,-,-,-,-,135.459,74.806,-,(210.265),-,-,,,,,135459.0,74806.0,,-210265.0,,
Thanh lý SHBS,Thay đổi trong kỳ > Thanh lý SHBS,Thanh lý SHBS,-,-,-,-,(15.000),(15.000),-,(19.391),(2.076),(51.467),,,,,-15000.0,-15000.0,,-19391.0,-2076.0,-51467.0
Chênh lệch tỷ giá,Thay đổi trong kỳ > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,-,-,(16),-,959,-,946,,,,,,-16.0,,959.0,,946.0
Số dư cuối kỳ,Thay đổi trong kỳ > Số dư cuối kỳ,Số dư cuối kỳ,11.196.891,101.716,(5.260),25.013,803.621,390.702,1.022,2.177.515,-,14.691.220,11196891.0,101716.0,-5260.0,25013.0,803621.0,390702.0,1022.0,2177515.0,,14691220.0
