row_label_raw,row_label_full,col_0,31/12/2016triệu VND,Số liệu trìnhbảy lạitriệu VND,31/12/2016(trình bày lại)triệu VND,numeric__31/12/2016triệu VND,numeric__Số liệu trìnhbảy lạitriệu VND,numeric__31/12/2016(trình bày lại)triệu VND
Bàng cân đối kế toán,Bàng cân đối kế toán,Bàng cân đối kế toán,Bàng cân đối kế toán,Bàng cân đối kế toán,Bàng cân đối kế toán,,,
Tài sản có khác,Bàng cân đối kế toán > Tài sản có khác,Tài sản có khác,16.088.151,6.804.949,22.893.100,16088151.0,6804949.0,22893100.0
Các khoản phải thu,Bàng cân đối kế toán > Các khoản phải thu,Các khoản phải thu,1.705.468,6.804.949,8.510.417,1705468.0,6804949.0,8510417.0
Tiền gửi và vay các TCTD khác,Bàng cân đối kế toán > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,33.309.432,6.804.949,40.114.381,33309432.0,6804949.0,40114381.0
Vay các TCTD khác,Bàng cân đối kế toán > Vay các TCTD khác,Vay các TCTD khác,10.010.175,6.804.949,16.815.124,10010175.0,6804949.0,16815124.0
,,,2016triệu VND,Số liệu trìnhbảy lạitriệu VND,2016(trình bày lại)triệu VND,,,
Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,,,
Lỗ thuần từ mua bán chứng khoán đầu tư,Báo cáo kết quả hoạt động kinh doanh > Lỗ thuần từ mua bán chứng khoán đầu tư,Lỗ thuần từ mua bán chứng khoán đầu tư,10.539,(200),10.339,10539.0,-200.0,10339.0
Thu nhập từ hoạt động khác,Báo cáo kết quả hoạt động kinh doanh > Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,736.223,200,736.423,736223.0,200.0,736423.0
Chi phí hoạt động khác,Báo cáo kết quả hoạt động kinh doanh > Chi phí hoạt động khác,Chi phí hoạt động khác,(371.907),(16.320),(388.227),-371907.0,-16320.0,-388227.0
Lãi thuần từ hoạt động khác,Báo cáo kết quả hoạt động kinh doanh > Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,364.316,(16.120),348.196,364316.0,-16120.0,348196.0
"Thu nhập từ góp vốn, mua cổ phần","Báo cáo kết quả hoạt động kinh doanh > Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",(14.193),16.320,2.127,-14193.0,16320.0,2127.0
