row_label_raw,row_label_full,Đơn vị: triệu VND > I. Kết quả kinh doanh bộ phận,Đơn vị: triệu VND > Nước ngoài,Đơn vị: triệu VND > Việt Nam > Miền Bắc,Đơn vị: triệu VND > Việt Nam > Miền Trung,Đơn vị: triệu VND > Việt Nam > Miền Nam,Đơn vị: triệu VND > Tổng cộng,numeric__Đơn vị: triệu VND > Nước ngoài,numeric__Đơn vị: triệu VND > Việt Nam > Miền Bắc,numeric__Đơn vị: triệu VND > Việt Nam > Miền Trung,numeric__Đơn vị: triệu VND > Việt Nam > Miền Nam,numeric__Đơn vị: triệu VND > Tổng cộng
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,326.282,3.077.240,486.679,906.459,4.796.660,326282.0,3077240.0,486679.0,906459.0,4796660.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,27.086,1.409.160,2.701,17.918,1.456.865,27086.0,1409160.0,2701.0,17918.0,1456865.0
Lãi thuần từ hoạt động kinh doanh ngoại hồi,Lãi thuần từ hoạt động kinh doanh ngoại hồi,Lãi thuần từ hoạt động kinh doanh ngoại hồi,1.580,42.067,1.672,8.928,54.247,1580.0,42067.0,1672.0,8928.0,54247.0
Lãi thuần từ mua bán chứng khoán kinh doanh,Lãi thuần từ mua bán chứng khoán kinh doanh,Lãi thuần từ mua bán chứng khoán kinh doanh,-,16.456,-,-,16.456,,16456.0,,,16456.0
Lỗ thuần từ mua bán chứng khoán đầu tư,Lỗ thuần từ mua bán chứng khoán đầu tư,Lỗ thuần từ mua bán chứng khoán đầu tư,-,(12.372),-,-,(12.372),,-12372.0,,,-12372.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,(1.810),131.274,165,7.863,137.492,-1810.0,131274.0,165.0,7863.0,137492.0
"Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",-,2.816,-,-,2.816,,2816.0,,,2816.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,(110.053),(2.110.510),(204.175),(472.159),(2.896.897),-110053.0,-2110510.0,-204175.0,-472159.0,-2896897.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,243.085,2.556.131,287.042,469.009,3.555.267,243085.0,2556131.0,287042.0,469009.0,3555267.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(51.137),(1.439.981),(33.500),(105.338),(1.629.956),-51137.0,-1439981.0,-33500.0,-105338.0,-1629956.0
