row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2017 triệu VND,31/12/2016 trình bày lại triệu VND,numeric__Thuyết minh,numeric__31/12/2017 triệu VND,numeric__31/12/2016 trình bày lại triệu VND
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản nợ Chính phủ và NHNN,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,18,2.758.343,2.572.420,18.0,2758343.0,2572420.0
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,19,53.000.419,40.114.381,19.0,53000419.0,40114381.0
Tiền gửi của các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,,33.297.858,23.299.257,,33297858.0,23299257.0
Vay các TCTD khác,NỘ PHẢI TRẢ > Vay các TCTD khác,Vay các TCTD khác,,19.702.561,16.815.124,,19702561.0,16815124.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,20,194.889.770,166.576.217,20.0,194889770.0,166576217.0
"Vốn tài trợ, uỷ thác đầu tư, cho vay chịu rủi ro","NỘ PHẢI TRẢ > Vốn tài trợ, uỷ thác đầu tư, cho vay chịu rủi ro","Vốn tài trợ, uỷ thác đầu tư, cho vay chịu rủi ro",21,1.064.161,808.887,21.0,1064161.0,808887.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,22,14.967.269,13.767.675,22.0,14967269.0,13767675.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,,4.638.899,3.681.536,,4638899.0,3681536.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",,4.103.201,3.204.877,,4103201.0,3204877.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,23,535.698,476.659,23.0,535698.0,476659.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,271.318.861,227.521.116,,271318861.0,227521116.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn,Vốn,Vốn,,,,,,
Vốn điều lệ,Vốn > Vốn điều lệ,Vốn điều lệ,,11.196.891,11.196.891,,11196891.0,11196891.0
Thặng dư vốn cổ phần,Vốn > Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,,101.716,101.716,,101716.0,101716.0
Cổ phiếu quỹ,Vốn > Cổ phiếu quỹ,Cổ phiếu quỹ,,(5.260),(5.260),,-5260.0,-5260.0
Các quỹ dự trữ,Vốn > Các quỹ dự trữ,Các quỹ dự trữ,,1.220.358,1.038.259,,1220358.0,1038259.0
Lợi nhuận chưa phân phối,Vốn > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,25,2.177.515,897.661,25.0,2177515.0,897661.0
TỔNG VỐN CHỦ SỞ HỮU,Vốn > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,25,14.691.220,13.229.267,25.0,14691220.0,13229267.0
LỢI ÍCH CỦA CỔ ĐÔNG KHÔNG KIỂM SOÁT,Vốn > LỢI ÍCH CỦA CỔ ĐÔNG KHÔNG KIỂM SOÁT,LỢI ÍCH CỦA CỔ ĐÔNG KHÔNG KIỂM SOÁT,,-,2.306,,,2306.0
"TỔNG NỘ PHẢI TRẢ, VỐN CHỦ SỞ HỮU VÀ LỢI ÍCH CỔ ĐÔNG KHÔNG KIỂM SOÁT","Vốn > TỔNG NỘ PHẢI TRẢ, VỐN CHỦ SỞ HỮU VÀ LỢI ÍCH CỔ ĐÔNG KHÔNG KIỂM SOÁT","TỔNG NỘ PHẢI TRẢ, VỐN CHỦ SỞ HỮU VÀ LỢI ÍCH CỔ ĐÔNG KHÔNG KIỂM SOÁT",,286.010.081,240.752.689,,286010081.0,240752689.0
