row_label_raw,row_label_full,col_0,31/12/2017 triệu VND,31/12/2016 (trình bày lại) triệu VND,numeric__31/12/2017 triệu VND,numeric__31/12/2016 (trình bày lại) triệu VND
Tiền gửi từ các TCTD khác,Tiền gửi từ các TCTD khác,Tiền gửi từ các TCTD khác,33.297.858,23.299.257,33297858.0,23299257.0
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,19.995.524,11.890.660,19995524.0,11890660.0
Bằng VND,Bằng VND,Bằng VND,19.036.291,11.834.285,19036291.0,11834285.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,959.233,56.375,959233.0,56375.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,13.302.334,11.408.597,13302334.0,11408597.0
Bằng VND,Bằng VND,Bằng VND,11.250.300,9.236.500,11250300.0,9236500.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,2.052.034,2.172.097,2052034.0,2172097.0
Vay các TCTD khác,Vay các TCTD khác,Vay các TCTD khác,11.606.727,10.010.175,11606727.0,10010175.0
Bằng VND,Bằng VND,Bằng VND,10.261.036,8.511.444,10261036.0,8511444.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,905.643,1.082.467,905643.0,1082467.0
"Vay từ Dự án Tài chính Nông thôn II, III và từ Hiệp hội Phát triển Quốc tế thuộc Ngân hàng Thế giới (*)","Vay từ Dự án Tài chính Nông thôn II, III và từ Hiệp hội Phát triển Quốc tế thuộc Ngân hàng Thế giới (*)","Vay từ Dự án Tài chính Nông thôn II, III và từ Hiệp hội Phát triển Quốc tế thuộc Ngân hàng Thế giới (*)",440.048,416.264,440048.0,416264.0
Phải trả trong nghiệp vụ thư tín dụng trả chậm,Phải trả trong nghiệp vụ thư tín dụng trả chậm,Phải trả trong nghiệp vụ thư tín dụng trả chậm,8.095.834,6.804.949,8095834.0,6804949.0
,,,53.000.419,40.114.381,53000419.0,40114381.0
