row_label_raw,row_label_full,col_0,Thuyết minh,2017 triệu VND,2016 (trình bày lại) triệu VND,numeric__Thuyết minh,numeric__2017 triệu VND,numeric__2016 (trình bày lại) triệu VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,27,18.220.214,14.568.653,27.0,18220214.0,14568653.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,28,(13.423.554),(10.393.205),28.0,-13423554.0,-10393205.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,,4.796.660,4.175.448,,4796660.0,4175448.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,,1.526.170,409.808,,1526170.0,409808.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,,(69.305),(71.743),,-69305.0,-71743.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,29,1.456.865,338.065,29.0,1456865.0,338065.0
Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,30,54.247,102.040,30.0,54247.0,102040.0
Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,31,16.456,(10.104),31.0,16456.0,-10104.0
(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,32,(12.372),10.339,32.0,-12372.0,10339.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,359.978,736.423,,359978.0,736423.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,(222.486),(388.227),,-222486.0,-388227.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,33,137.492,348.196,33.0,137492.0,348196.0
"Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",34,2.816,2.127,34.0,2816.0,2127.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,,6.452.164,4.966.111,,6452164.0,4966111.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,35,(2.896.897),(2.507.759),35.0,-2896897.0,-2507759.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro,,3.555.267,2.458.352,,3555267.0,2458352.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,,(1.629.956),(1.301.913),,-1629956.0,-1301913.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,,1.925.311,1.156.439,,1925311.0,1156439.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,(386.183),(243.378),,-386183.0,-243378.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,24.1,(386.183),(243.378),241.0,-386183.0,-243378.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,,1.539.128,913.061,,1539128.0,913061.0
Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,,-,(187),,,-187.0
Lợi nhuận sau thuế của Ngân hàng,Lợi nhuận sau thuế của Ngân hàng,Lợi nhuận sau thuế của Ngân hàng,,1.539.128,913.248,,1539128.0,913248.0
Lãi cơ bản trên cổ phiếu (VND),Lãi cơ bản trên cổ phiếu (VND),Lãi cơ bản trên cổ phiếu (VND),26,1.510,896,26.0,1510.0,896.0
