row_label_raw,row_label_full,col_0,Land use rights,Buildings and structures,VND Total,numeric__Land use rights,numeric__Buildings and structures,numeric__VND Total
Cost:,Cost:,Cost:,Cost:,Cost:,Cost:,,,
Beginning balance,Beginning balance,Beginning balance,"25,019,644,770","363,118,436,550","388,138,081,320",,,
New purchase,New purchase,New purchase,"2,119,880,204","160,149,730,049","162,269,610,253",,,
Disposal,Disposal,Disposal,-,"(15,149,398,240)","(15,149,398,240)",,,
Ending balance,Ending balance,Ending balance,"27,139,524,974","508,118,768,359","535,258,293,333",,,
In which:,In which:,In which:,In which:,In which:,In which:,,,
Fully depreciation,Fully depreciation,Fully depreciation,-,"45,501,693,673","45,501,693,673",,,
Accumulated depreciation and amortisation:,Accumulated depreciation and amortisation:,Accumulated depreciation and amortisation:,Accumulated depreciation and amortisation:,Accumulated depreciation and amortisation:,Accumulated depreciation and amortisation:,,,
Beginning balance,Beginning balance,Beginning balance,"(9,983,576,650)","(62,245,829,278)","(72,229,405,928)",,,
Charge for the year,Charge for the year,Charge for the year,"(39,453,452)","(19,977,003,823)","(20,016,457,275)",,,
Disposal,Disposal,Disposal,-,"2,219,023,902","2,219,023,902",,,
Ending balance,Ending balance,Ending balance,"(10,023,030,102)","(80,003,809,199)","(90,026,839,301)",,,
Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,,,
Beginning balance,Beginning balance,Beginning balance,"15,036,068,120","300,872,607,272","315,908,675,392",,,
Ending balance,Ending balance,Ending balance,"17,116,494,872","428,114,959,160","445,231,454,032",,,
