row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,,,,
Lợi nhuận nội bộ chưa thực hiện loại trừ trên hợp nhất,Tài sản thuế TNDN hoãn lại > Lợi nhuận nội bộ chưa thực hiện loại trừ trên hợp nhất,Lợi nhuận nội bộ chưa thực hiện loại trừ trên hợp nhất,320.655.042.387,274.858.709.545,45.796.332.842,66.370.222.543,320655042387.0,274858709545.0,45796332842.0,66370222543.0
Chi phí phải trả,Tài sản thuế TNDN hoãn lại > Chi phí phải trả,Chi phí phải trả,69.295.702.103,69.810.157.655,(514.455.552),(4.563.041.843),69295702103.0,69810157655.0,-514455552.0,-4563041843.0
Thuế TNDN tạm nộp trên các khoản nhận tiền trước từ khách hàng (i),Tài sản thuế TNDN hoãn lại > Thuế TNDN tạm nộp trên các khoản nhận tiền trước từ khách hàng (i),Thuế TNDN tạm nộp trên các khoản nhận tiền trước từ khách hàng (i),41.643.779.282,38.770.930.695,2.872.848.587,(26.695.199.391),41643779282.0,38770930695.0,2872848587.0,-26695199391.0
Lỗ thuế mang sang các năm sau,Tài sản thuế TNDN hoãn lại > Lỗ thuế mang sang các năm sau,Lỗ thuế mang sang các năm sau,18.794.595.121,-,18.794.595.121,(92.926.527.946),18794595121.0,,18794595121.0,-92926527946.0
Khác,Tài sản thuế TNDN hoãn lại > Khác,Khác,27.052.221.078,17.804.571.707,9.247.649.371,10.942.066.719,27052221078.0,17804571707.0,9247649371.0,10942066719.0
,,,477.441.339.971,401.244.369.602,,,477441339971.0,401244369602.0,,
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,,,,
Chi phí lãi vay đã được khấu trừ khi tính thuế nhưng được vốn hóa vào dự án trên bảo cáo tài chính hợp nhất,Thuế TNDN hoãn lại phải trả > Chi phí lãi vay đã được khấu trừ khi tính thuế nhưng được vốn hóa vào dự án trên bảo cáo tài chính hợp nhất,Chi phí lãi vay đã được khấu trừ khi tính thuế nhưng được vốn hóa vào dự án trên bảo cáo tài chính hợp nhất,(171.302.432.152),(139.479.898.197),(31.822.533.955),30.128.500.489,-171302432152.0,-139479898197.0,-31822533955.0,30128500489.0
Chênh lệch giá trị hợp lý của tài sản mua trong hợp nhất kinh doanh,Thuế TNDN hoãn lại phải trả > Chênh lệch giá trị hợp lý của tài sản mua trong hợp nhất kinh doanh,Chênh lệch giá trị hợp lý của tài sản mua trong hợp nhất kinh doanh,(1.693.182.589),(909.064.994.836),65.839.503.577,(29.418.352.727),-1693182589.0,-909064994836.0,65839503577.0,-29418352727.0
Chi phí đã được khấu trừ khi tính thuế nhưng được vốn hóa vào giá trị đầu tư trên bảo cáo tài chính hợp nhất,Thuế TNDN hoãn lại phải trả > Chi phí đã được khấu trừ khi tính thuế nhưng được vốn hóa vào giá trị đầu tư trên bảo cáo tài chính hợp nhất,Chi phí đã được khấu trừ khi tính thuế nhưng được vốn hóa vào giá trị đầu tư trên bảo cáo tài chính hợp nhất,-,(4.920.000.000),-,-,,-4920000000.0,,
,,,(172.995.614.741),(1.053.464.893.033),,,-172995614741.0,-1053464893033.0,,
Thuế khác (chi phí) thuế TNDN hoãn lại,Thuế TNDN hoãn lại phải trả > Thuế khác (chi phí) thuế TNDN hoãn lại,Thuế khác (chi phí) thuế TNDN hoãn lại,Thuế khác (chi phí) thuế TNDN hoãn lại,Thuế khác (chi phí) thuế TNDN hoãn lại,110.213.939.991,(46.162.332.156),,,110213939991.0,-46162332156.0
