row_label_raw,row_label_full,Companies,Locations,Businesses,Interest and voting rights (%),numeric__Locations,numeric__Businesses,numeric__Interest and voting rights (%)
Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,,,
"Nam Long VCD Corporation (""Nam Long VCD"")","Subsidiaries > Nam Long VCD Corporation (""Nam Long VCD"")","Nam Long VCD Corporation (""Nam Long VCD"")",Tay Ninh Province,Real estate,99.96,,,9996.0
"Nguyen Son Real Estate Joint Stock Company (""Nguyen Son"")","Subsidiaries > Nguyen Son Real Estate Joint Stock Company (""Nguyen Son"")","Nguyen Son Real Estate Joint Stock Company (""Nguyen Son"")","Ho Chi Minh City (""HCMC"")",Real estate,87.33,,,8733.0
Nam Phan Investment Corporation,Subsidiaries > Nam Phan Investment Corporation,Nam Phan Investment Corporation,HCMC,Construction and real estate,100.00,,,10000.0
Nam Long Apartment Development Company Limited,Subsidiaries > Nam Long Apartment Development Company Limited,Nam Long Apartment Development Company Limited,HCMC,Construction and real estate,100.00,,,10000.0
"Nam Long Mekong Joint Stock Company (""Nam Long Mekong"")","Subsidiaries > Nam Long Mekong Joint Stock Company (""Nam Long Mekong"")","Nam Long Mekong Joint Stock Company (""Nam Long Mekong"")",Can Tho City,Construction and real estate,99.98,,,9998.0
NLG - NNR - HR Fuji Joint Stock Company (*),Subsidiaries > NLG - NNR - HR Fuji Joint Stock Company (*),NLG - NNR - HR Fuji Joint Stock Company (*),HCMC,Construction and real estate,50.00,,,5000.0
NNH Kikyo Flora Company Limited,Subsidiaries > NNH Kikyo Flora Company Limited,NNH Kikyo Flora Company Limited,HCMC,Real estate,100.00,,,10000.0
NNH Kikyo Valora Company Limited,Subsidiaries > NNH Kikyo Valora Company Limited,NNH Kikyo Valora Company Limited,HCMC,Real estate,59.11,,,5911.0
Nguyen Phuc Real Estate Trading and Investment Company Limited,Subsidiaries > Nguyen Phuc Real Estate Trading and Investment Company Limited,Nguyen Phuc Real Estate Trading and Investment Company Limited,HCMC,Real estate,100.00,,,10000.0
Nam Khang Construction Investment Development One Member Limited Liability Company,Subsidiaries > Nam Khang Construction Investment Development One Member Limited Liability Company,Nam Khang Construction Investment Development One Member Limited Liability Company,HCMC,Construction and real estate,100.00,,,10000.0
Nam Vien Construction and Design Consulting Joint Stock Company,Subsidiaries > Nam Vien Construction and Design Consulting Joint Stock Company,Nam Vien Construction and Design Consulting Joint Stock Company,HCMC,Service,100.00,,,10000.0
Nam Khang Construction Materials Trading Company Limited,Subsidiaries > Nam Khang Construction Materials Trading Company Limited,Nam Khang Construction Materials Trading Company Limited,HCMC,Construction material trading,100.00,,,10000.0
"6D Joint Stock Company (""6D"")","Subsidiaries > 6D Joint Stock Company (""6D"")","6D Joint Stock Company (""6D"")",HCMC,Construction and real estate,76.03,,,7603.0
"Nam Long Real Estate Transaction Floor One Member Limited Liability Company (""Trading Floor"")","Subsidiaries > Nam Long Real Estate Transaction Floor One Member Limited Liability Company (""Trading Floor"")","Nam Long Real Estate Transaction Floor One Member Limited Liability Company (""Trading Floor"")",HCMC,Real estate trading floor,100.00,,,10000.0
"Nam Long Township and Property Management One-Member Liability Company Limited (""Nam Long Service"")","Subsidiaries > Nam Long Township and Property Management One-Member Liability Company Limited (""Nam Long Service"")","Nam Long Township and Property Management One-Member Liability Company Limited (""Nam Long Service"")",HCMC,Service and construction,100.00,,,10000.0
"Nam Long Transportation Service One Member Limited Company (""Nam Long Bus"")","Subsidiaries > Nam Long Transportation Service One Member Limited Company (""Nam Long Bus"")","Nam Long Transportation Service One Member Limited Company (""Nam Long Bus"")",HCMC,Transportation service,100.00,,,10000.0
"Nam Long Commercial Property Company Limited (""Nam Long CP"")","Subsidiaries > Nam Long Commercial Property Company Limited (""Nam Long CP"")","Nam Long Commercial Property Company Limited (""Nam Long CP"")",HCMC,Construction and real estate,100.00,,,10000.0
"Nam Long Land Investment Company Limited (""Nam Long Land"")","Subsidiaries > Nam Long Land Investment Company Limited (""Nam Long Land"")","Nam Long Land Investment Company Limited (""Nam Long Land"")",HCMC,Management service,100.00,,,10000.0
"Southgate Joint Stock Company (""Southgate"")","Subsidiaries > Southgate Joint Stock Company (""Southgate"")","Southgate Joint Stock Company (""Southgate"")",HCMC,Real estate,65.00,,,6500.0
Nam Phat Land Investment Company Limited,Subsidiaries > Nam Phat Land Investment Company Limited,Nam Phat Land Investment Company Limited,HCMC,Real estate,100.00,,,10000.0
"Nam Long Retail Company Limited (""Nam Long Retail"")","Subsidiaries > Nam Long Retail Company Limited (""Nam Long Retail"")","Nam Long Retail Company Limited (""Nam Long Retail"")",HCMC,Real estate,100.00,,,10000.0
Nam Long SPV Company Limited,Subsidiaries > Nam Long SPV Company Limited,Nam Long SPV Company Limited,HCMC,Real estate,100.00,,,10000.0
"Jointly-controlled, associate entities","Jointly-controlled, associate entities","Jointly-controlled, associate entities","Jointly-controlled, associate entities","Jointly-controlled, associate entities","Jointly-controlled, associate entities",,,
"Paragon Dai Phuoc Company Limited (""Paragon"")","Jointly-controlled, associate entities > Paragon Dai Phuoc Company Limited (""Paragon"")","Paragon Dai Phuoc Company Limited (""Paragon"")",HCMC,Real estate,50.53,,,5053.0
"NNH Mizuki Joint Stock Company (""NNH Mizuki"")","Jointly-controlled, associate entities > NNH Mizuki Joint Stock Company (""NNH Mizuki"")","NNH Mizuki Joint Stock Company (""NNH Mizuki"")",HCMC,Real estate,50.00,,,5000.0
"Dong Nai Waterfront City LLC (""DNWF"")","Jointly-controlled, associate entities > Dong Nai Waterfront City LLC (""DNWF"")","Dong Nai Waterfront City LLC (""DNWF"")",Dong Nai Province,Real estate,50.00,,,5000.0
Anabuki NL Housing Service Vietnam Company Limited,"Jointly-controlled, associate entities > Anabuki NL Housing Service Vietnam Company Limited",Anabuki NL Housing Service Vietnam Company Limited,HCMC,Real estate,30.59,,,3059.0
