row_label_raw,row_label_full,Full name,Position,col_2,Remuneration > Current year,Remuneration > Previous year,numeric__Position,numeric__col_2,numeric__Remuneration > Current year,numeric__Remuneration > Previous year
Mr Lucas Ignatius Loh,Mr Lucas Ignatius Loh,Mr Lucas Ignatius Loh,Chief Executive Officer Group,,"19,437,833,939","11,897,793,821",,,,
Jen Yuh,Jen Yuh,Jen Yuh,,,,,,,,
Ms Nguyen Thanh Huong,Ms Nguyen Thanh Huong,Ms Nguyen Thanh Huong,Chief Investment Officer,,"5,534,503,896","4,380,009,091",,,,
Mr Chan Hong Wai,Mr Chan Hong Wai,Mr Chan Hong Wai,Chief Financial Officer,,"4,948,400,000","1,318,084,987",,,,
Ms Nguyen Thi Phuong,Ms Nguyen Thi Phuong,Ms Nguyen Thi Phuong,Chief People Officer,,"4,189,234,000","4,064,418,591",,,,
Mr Ng Joo Tong,Mr Ng Joo Tong,Mr Ng Joo Tong,Managing Director Nam Long Land,appointed on 7 July 2025,"3,184,363,636",-,,,,
Mr Nguyen Quang Duc,Mr Nguyen Quang Duc,Mr Nguyen Quang Duc,Chief Accountant,,"2,122,357,900","2,283,036,700",,,,
Mr Tran Anh Dung,Mr Tran Anh Dung,Mr Tran Anh Dung,Commercial & Ventures,appointed on 8 January 2025,,,,,,
Mr Tran Anh Dung,Mr Tran Anh Dung,Mr Tran Anh Dung,Managing Director,and resigned on 2 May 2025,"1,175,009,882",-,,,,
Mr Nguyen Hoang Vinh,Mr Nguyen Hoang Vinh,Mr Nguyen Hoang Vinh,Commercial & Ventures,appointed on 1 September 2025,"942,057,143",-,,,,
Vien,Vien,Vien,Managing Director,,,,,,,
Mr Tran Xuan Ngoc,Mr Tran Xuan Ngoc,Mr Tran Xuan Ngoc,Chief Executive Officer Group,resigned on 30 March 2024,-,"4,784,346,314",,,,
Mr Nguyen Huy Duc,Mr Nguyen Huy Duc,Mr Nguyen Huy Duc,Chief Financial Officer,resigned on 16 September 2024,-,"5,559,628,178",,,,
Mr Pham Dinh Huy,Mr Pham Dinh Huy,Mr Pham Dinh Huy,Chief Investment Officer,resigned on 2 May 2024,-,"2,084,069,292",,,,
Mr Van Viet Son,Mr Van Viet Son,Mr Van Viet Son,Managing Director Nam Long Land,resigned on 20 September 2024,-,"6,313,935,793",,,,
TOTAL,TOTAL,TOTAL,,,"41,533,760,396","42,685,322,767",,,,
