row_label_raw,row_label_full,Code,ITEMS,Notes,Current year,Previous year,numeric__ITEMS,numeric__Notes,numeric__Current year,numeric__Previous year
,,,III. CASH FLOWS FROM FINANCING ACTIVITIES,,,,,,,
31,31,31,Capital contribution from non-controlling interests,,"2,544,587,275,000",-,,,,
32,32,32,Return of capital contribution to non-controlling interests,,"(258,500,000,000)",-,,,,
33,32 > 33,33,Drawdown of borrowings (less cost of issuing bonds),23.4,"3,736,785,787,781","4,815,082,016,280",,234.0,,
34,32 > 34,34,Repayment of borrowings,23.4,"(3,802,028,487,699)","(3,993,505,683,399)",,234.0,,
36,36,36,Dividends paid,"27.3, 28","(947,540,570,689)","(194,402,189,963)",,,,
40,40,40,Net cash flows from financing activities,,"1,273,304,004,393","627,174,142,918",,,,
50,50,50,Net increase in cash and cash equivalents for the year,,"1,371,011,130,889","2,903,196,564,910",,,,
60,60,60,Cash and cash equivalents at beginning of year,,"5,443,293,611,458","2,540,097,046,548",,,,
70,60 > 70,70,Cash and cash equivalents at end of year,5,"6,814,304,742,347","5,443,293,611,458",,5.0,,
