row_label_raw,row_label_full,col_0,Anabuki,NNH Mizuki,Paragon,DNWF,VND Total,numeric__Anabuki,numeric__NNH Mizuki,numeric__Paragon,numeric__DNWF,numeric__VND Total
Cost of investment:,Cost of investment:,Cost of investment:,Cost of investment:,Cost of investment:,Cost of investment:,Cost of investment:,Cost of investment:,,,,,
Beginning balance,Beginning balance,Beginning balance,"4,588,500,000","540,000,000,000","984,519,130,211",-,"1,529,107,630,211",,,,,
Increase (Note 4),Increase (Note 4),Increase (Note 4),-,-,"73,660,000,000",-,"73,660,000,000",,,,,
Increase due to disposal of a subsidiary (Note 4.4),Increase due to disposal of a subsidiary (Note 4.4),Increase due to disposal of a subsidiary (Note 4.4),-,-,-,"2,892,788,954,518","2,892,788,954,518",,,,,
Ending balance,Ending balance,Ending balance,"4,588,500,000","540,000,000,000","1,058,179,130,211","2,892,788,954,518","4,495,556,584,729",,,,,
Accumulated share in post-acquisition profit:,Accumulated share in post-acquisition profit:,Accumulated share in post-acquisition profit:,Accumulated share in post-acquisition profit:,Accumulated share in post-acquisition profit:,Accumulated share in post-acquisition profit:,Accumulated share in post-acquisition profit:,Accumulated share in post-acquisition profit:,,,,,
Beginning balance,Beginning balance,Beginning balance,"11,833,725,215","251,967,095,787","(930,168,229)",-,"262,870,652,773",,,,,
Profits (loss) from an joint ventures and associate,Profits (loss) from an joint ventures and associate,Profits (loss) from an joint ventures and associate,"2,808,341,531","60,800,617,812","(320,994,410)","12,758,020,045","76,045,984,978",,,,,
Increase due to disposal of a subsidiary (Note 4.4),Increase due to disposal of a subsidiary (Note 4.4),Increase due to disposal of a subsidiary (Note 4.4),-,-,-,"276,478,656,032","276,478,656,032",,,,,
Dividend from preference shares,Dividend from preference shares,Dividend from preference shares,-,"(75,000,000,000)",-,-,"(75,000,000,000)",,,,,
Ending balance,Ending balance,Ending balance,"14,642,066,746","237,767,713,599","(1,251,162,639)","289,236,676,077","540,395,293,783",,,,,
Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,Net carrying amount:,,,,,
Beginning balance,Beginning balance,Beginning balance,"16,422,225,215","791,967,095,787","983,588,961,982",-,"1,791,978,282,984",,,,,
Ending balance,Ending balance,Ending balance,"19,230,566,746","777,767,713,599","1,056,927,967,572","3,182,025,630,595","5,035,951,878,512",,,,,
